Bahnaric,Vietnamese,pos,theme
'bloih,xuống,đ.,ill
'blon,thẳng đuột,t.,place
lơngơp lơngơp,ẩm,d.,animal
rơbăp,ẩm,d.,animal
'blong hơ'blong,vật thon dài,dtr.,place
hơuh,ẩm,d.,body
'blonh,táy,thđ.,place
'blop,liêm,t.,body
'bloy 'bloy,khói thuốc phì phà,t.,ill
'bluich,trốn việc,đ.,body
'blut,buồn,đ.,ill
'blut,nôn,đ.,place
'blut,nổi sùng,đ.,animal
hơâm,ẩm,d.,ill
'blêt,mở mắt,đ.,animal
'blêt,ánh sáng lớn ,t.,food
'blêt 'blêt,ánh sáng lớn lóe lên,lt.,body
'blêu 'blao,cỏ nhiều này đặc,thđ.,place
'blê̆ 'blă,vật lớn đi đi lại lại,đt.,food
'blôih,tụt,đ.,place
'blôih,xuống,đ.,ill
'blôk,quay lại nhìn,đt.,body
'blông 'blang,nước lụt tràn ngập,trt.,animal
'blôp,che kín,đ.,place
'blăn,bỡn,đ.,animal
'blăn,đùa bỡn,đ.,food
hơăm,ẩm,d.,place
'blĕk,mãi,trt.,animal
'blĕk,nhấp,đ.,place
'blĕk,nhắc,đ.,time
'blĕk,nhớ,đ.,ill
'blĕk 'blŏk,đổi ý bất thường,d.,ill
'blĕng,một loại ghè,d.,ill
'blĕr,bằng phẳng,t.,ill
'blĕt,nháy,đ.,time
'blĕt,nhấp,đ.,body
'blĕt,tih chớp,dtr.,animal
'blĭt 'blĭt,ngỡ ngàng,t.,place
'blŏch 'bom,quệt,đ.,time
'blŏk,nhắc nhớ,d.,place
'blŏk,nhớ,đ.,body
'blŏk,nhớ lại,đ.,time
'blŏng,dài,t.,animal
'blŏng,mi,đt.,ill
lơngơp,ẩm,d.,food
năr kiơ̆ kơkhĕi,âm lịch,d.,ill
'blŏng kơ'như̆,cao,t.,time
'blŏ̆k ling lang,thao thức,đ.,food
'blŭk 'blŭk,tiếng nước chảy ùng ục,t.,ill
'blơch 'blach,vùng nước ngập,cpl.,animal
'blơr,láo,đ.,ill
brống,âm thanh,d.,ill
'blơ̆n,đẫm,t.,time
'blơ̆t 'blơ̆t,nháy mắt,đ.,ill
kơpăng wang wơch,âm vang,d.,ill
'bo,thôi,trđt.,ill
'bo,đủ,t.,food
'boch,nhân,đ.,place
jơva,âm vang,d.,ill
'boh,hiện ra,trđt,ill
lĕl,âm vật,d.,place
'boh,thấy,đ.,place
'boi,bắt,đ.,time
'boi,bắt chước,đ.,time
an,an,d.,place
'bok,bok,trđt,food
hrâp,an,d.,time
sa,an,d.,food
'bok,linh,t.,body
srơ̆p,an,d.,place
xa,an,d.,ill
hoai,an,d.,animal
'bok,đức,đ.,food
'bok bul,nhân vật hoang đường sống trong rừng,đt.,place
khi`,an,d.,food
khĭ,an,d.,place
'bok kla kơđong,báo,đ.,place
'bok kla kơđong,con báo,t.,body
'bok kla pơhum,con hổ,st.,body
we`i,an,d.,food
wĕi,an,d.,ill
an,án,d.,ill
'bom,bị bệnh,trt.,place
'bom,chạm,đ.,ill
'bom,may,đ.,place
'bom,đụng,đ.,animal
'bon,may mắn,t.,place
pơiăp,án,d.,time
'bot,mò,đ.,animal
'bot,thò,đ.,animal
'bot,đeo,đ.,body
'bot,đeo vào ngắn tay,Th.,body
'bra,rực,t.,food
'brach,cười duyên,đ.,time
pơm,án,d.,body
'brah,ít,t.,time
'brah,ỏi,đ.,food
'brak,lắm,trđt.,place
pơlôch,án mạng,d.,time
an ninh,an ninh,d.,food
'brang,sỡ,Th.,place
'brau,lành bẹnh,Th.,time
'bre rơhẽm,bé mới sinh,st.,food
'breh,giận dữ hết sức ,thđ.,ill
'breh,kéo da non,Th.,food
'breh,vị the,t.,place
'brenh 'bronh,rằn ri nhiều màu,st.,food
'nhŏng,anh,d.,people
'bri,đỏ,t.,place
'brich 'bruch,tủm tỉm cười,cpl.,time
'brih,râm,t.,food
'brinh,vần,đ.,time
'brit 'brut,rắn trườn nhẹ nhàng,lt.,place
'bro,khàn khàn,đ.,food
'broch,ỉa són,đ.,place
'bronh,rằn ri nhiều màu,st.,body
ih,anh,d.,people
'bruch,hé môi cười,d.,time
'brui,chẳng có gì cả,dtđv.,body
mơng,anh,d.,people
'brut,chỉ con rắn uốn mình trướn đi,dtr.,animal
'brut,rắn uốn mình trướn đi,t.,place
'brut,uốn mình,dtr.,time
'bruơh,thẳng băng,t.,animal
'bruơk,tiếng xoạt,trđt,place
'bruơk,tiếng ột ột,Th.,food
'bruơng,da hồng hào,dtr.,animal
'brâu,hồng hào,t.,ill
'brê,đỏ,t.,animal
'brêh,đẩm,dtr.,food
'brêk,vô,đ.,animal
'brôk,lôm,dtđv.,animal
nhŏng,anh,d.,people
'nhong,anh,d.,people
'brôk 'brôl,lan ben,thđ.,time
'brôl,trắng,t.,food
ahŏng,anh,d.,people
'brôm,gầm sàn,t.,animal
'brông,sặc,đ.,food
'brônh,ri,đt.,time
'brônh,rằn ri,đ.,body
'brõi 'brỗi,từ từ bò đi,dtr.,body
'brüh ’brah,vết nổi,lt.,ill
'brăk 'brăl,chỉ khoang đen trắng,dtr.,food
'brĕl,phộng,đ.,animal
anho`ng,anh,d.,people
'brũch 'brũch,sột soạt,đ.,time
'brũch 'brũch,tiếng sột soạt của bò,dtđv.,place
'brũk 'brăk,răng rắc,đ.,food
'brũk 'brăk,rắc,đ.,animal
'brũk 'brăk,tiếng răng rắc cây gãy,st.,time
'brũng 'brăng,ánh sáng hồng,đt.,animal
'brơh,hãm hại,đ.,time
'brơh,hại,đ.,animal
'brơh,khổ thân tôi,cpl.,animal
'brơk,đấy,đt.,place
'brơt,khè,đ.,body
'brơ̆u,màu vàng,cpl.,time
anhong,anh,d.,people
'brư̆,xấu,t.,place
anhŏng,anh,d.,people
kơih,anh,d.,people
'brẽk,tiến,đ.,body
'brẽk 'brẽk,tiếng cây sắp rẫy kêu răng rắc,dtr.,food
'brẽl,'brẽch,lt.,time
'brẽl,brẽch,d.,food
'brẽl,brẽl,lt.,time
'brẽl 'brẽch,có hạt nhỏ,trđt,time
'brẽt,tiến bộ ,dtđv.,food
'brốk,lôm,d.,ill
'brổk 'brỡl,có khoang đen trắng,lt.,place
'brỡk,chạnh lòng,đ.,food
'brỡm,mũi tên,đ.,animal
'brỡt,xù xì,t.,animal
'brữt 'mrũt,pực pực,d.,animal
'brữt 'mrũt,tiếng dây pực pực đất từng sợi,dtđv.,place
'bu,chồi non ,d.,animal
nuih,anh,d.,people
'bu'bũl,tập trung một chỗ,trđt,ill
'buah,tiếc rẻ,đ.,body
'buch,cười,đ.,body
'buch,mĩm,trđt,body
'buch,phau câu gà,t.,body
'buch,vô,đ.,ill
'buh,nung,đ.,ill
'buh,nướng,đ.,time
'buh,thiêu,đ.,animal
'buh,thui,đ.,time
'buh,đốt,đ.,food
'bui,bùi,đ.,ill
sư,anh,d.,people
'bui,mưa,đ.,body
'bui,phùn,đ.,animal
'buih,men,đ.,animal
'buih,men rượu,dtr.,animal
'buihxik,men rượu,lt.,food
'nhŏng ,anh,d.,people
‘nhong,anh,d.,people
'bum,đậu,đ.,time
brêng,ánh,d.,time
'bum hla 'bơi,bắp cải,đ.,food
'bum hla bêy,bắp cải,đ.,animal
'bung,kôn,dtr.,time
'blik,ánh,d.,place
'bur,cháy ngầm,dtr.,body
'bur,chồi mọc,dtr.,food
'but,bắt chước,đ.,body
'buâ,loại kiếm của người lào,dtđv.,ill
blik,ánh,d.,place
'buăn,cúng thần,thđ.,animal
'buăn,thề hứa ,st.,food
'byỡt,láng bóng,t.,ill
'bâu,thơm,t.,place
'bâu phu,thơm,t.,body
'bêl,bộ phận sinh dục nữ,dtđv.,ill
'bêt,mếu mó  ,cpl.,food
'bêy,cải,đ.,food
'bíỉk 'brăk 'brũk,gãy,đ.,ill
'bíỉk 'brăk 'brũk,tiếng cây gãy răng rắc,t.,body
drang,ánh,d.,ill
'bông,giỏ mồm,thđ.,place
'bônh,bện,đ.,body
'bônh,dễ,t.,ill
'bônh tơlăi,bện dây thừng,thđ.,place
'bôt,cồn cát,thđ.,animal
'bôt,từng nơi,Th.,time
rang,ánh,d.,time
bơngai,ảnh,d.,ill
'bă,sực nhớ,dtr.,ill
'bă,vào lúc,t.,animal
chơphin,ảnh,d.,place
'băch,trắng,t.,ill
'băi,ra,đ.,body
'băi,đào rộng thêm,st.,place
hĭnh,ảnh,d.,food
'băk,chát,đ.,food
'băk,mang,đ.,animal
'băn,thanh gỗ dệt vải,thđ.,ill
kơhĭnh,ảnh,d.,place
'băng,bùa ngải,thđ.,time
'băng,bẩy lên,st.,food
'băng,ngải,đ.,food
rup,ảnh,d.,time
sa,ảnh,d.,ill
'băr,lá mồng tơi,thđ.,food
'băr,quấn,đ.,animal
'băr 'nghieu,dây rừng,lt.,ill
'băr gõ,xoay,đ.,body
'băt,mặn,t.,food
anh,ảnh,d.,body
anho`ng mai pôm b`ă me`,anh chị,d.,ill
'bĕ,be,đ.,ill
'bĕ 'bĕ,be be,đ.,body
'bĕ 'bĕ,tiếng be be của dê,st.,time
anhŏng mai pôm 'bă mĕ,anh chị,d.,place
'bĕng,đánh,đ.,time
'bĕnh,đầy,t.,body
'bĕp,bép xép,đ.,time
anhŏng mai pôm bă mĕ,anh chị,d.,food
'nhŏng mai ,anh chị,d.,time
'bĕr,bép,đ.,animal
'bĕr,xép,đ.,time
'bĭch,nằm,đ.,food
'bĭk,nằm,đ.,food
'bĭr,láo,đ.,food
'bĭr,nói,đ.,place
'bŏ,có,đ.,place
anho`ng oh pôm b`ă me`,anh em,d.,time
'bŏk,giản,đ.,place
'bŏk,gợi lại chuyện cũ,Th.,place
anhŏng oh pôm 'bă mĕ,anh em,d.,food
'bŏl,cả,đt.,food
anhŏng oh pôm bă mĕ,anh em,d.,ill
'bŏng,dã,đ.,food
'bŏng 'boch,con dã nhân,d.,food
'bũ,chôn cất người chết,d.,food
'bũl 'bũl,tập trung một chỗ,d.,place
'bŭ,chôn,đ.,animal
'bŭ,lấp,đ.,animal
'bŭ,vun,đ.,body
'bŭ,vùi,đ.,place
'nhŏng oh ,anh em,d.,time
'bơ'banh,đúc,đ.,animal
'bơ'bel,quịt nợ,st.,time
'bơ'blep,sắp lặn,d.,ill
'bơ'blet,chỉ ánh sáng bất đầu tỏa rạng,cpl.,food
'bơ'blut,lớn nhanh,đt.,time
'bơ'blĕk,lạnh ngắt,t.,body
'bơ'blĕk,sủi tăm,đ.,time
'bơ'blĕt,traần trọc,t.,animal
'bơ'bot,rờ rẫm,đ.,place
gop 'băn,anh em cọc chèo,d.,food
'bơ'breh 'bơ'brĕk,nhiều bọ nhỏ bò trên mình,dtđv.,time
'bơ'broy,chỉ trâu,dtđv.,body
'bơ'brui,chẳng có thứ gì,Th.,place
hơtan,anh em cọc chèo,d.,food
'bơ'brêk,vô,đ.,time
'bơ'brêk 'bơ'brak,nhiều vô số kể,thđ.,food
'bơ'brŏ,không có đồ ăn,trt.,time
pô̆,anh em cọc chèo,d.,time
'bơ'bŭl 'bơ'băl,chỉ nhiều người hay vật tập trung một chữ,Th.,food
'bơ'bôh,thấy,đ.,time
'bơ'bơnh,đông,t.,ill
'bơ'bưi,cháy ngầm,trt.,food
'bơblut,buồn ñôn,trđt,place
'bơblâu 'bơblĕng,không thấy nước,dtr.,time
'bơi,bời,đ.,time
'bơi,cải,đ.,food
anhŏng oh pôm yă 'bŏk,anh em thúc bá,d.,food
'bơm,lây,đ.,animal
'bơp,há miệng ,d.,ill
'bơp 'bơp,miệng nói mà không làm,cpl.,time
anhŏng oh pôm yă bŏk,anh em thúc bá,d.,animal
'bơt,hụt,đ.,place
mơng kơtang,anh hùng,d.,place
'bơt,uốn,đ.,ill
'bơt,đi,đ.,ill
mi,anh nuôi,d.,ill
'bơ̆i bơhnar,tiếng ba na,dtr.,place
mi,anh rể,d.,place
'bơ̆l,lại,trt.,time
ang,ánh sáng,d.,place
arang,ánh sáng,d.,body
rơdah,ánh sáng,d.,time
brêng brang,ánh sáng,d.,food
mặt ‘năr tơmưt,ánh sáng,d.,body
'bău,ao,d.,place
'bơ̆l,tính,đ.,food
'bơ̆l đon,tính,đ.,food
tơ nau,ao,d.,place
tơ năo,ao,d.,place
tơ nău,ao,d.,place
tơnau,ao,d.,place
tơrao,ao,d.,place
'buh,ao,d.,place
'bơ̆t,nắn,đ.,body
bơ̆t,uốn,đ.,ill
'bưch,tùy hứng,cpl.,time
'bưi,ngầm,t.,body
'bưp,rinh,đ.,time
'bưp,rung,đ.,ill
'bươ,bừa,đ.,animal
dơnâu,ao,d.,place
ho,ao,d.,place
hơ,ao,d.,place
'dah,nảy mầm,đ.,animal
hơ lŭng sir,ao,d.,place
hơlŭng đak,ao,d.,place
'dal,cạn,t.,body
'dam,chính xác,t.,animal
'dam,tôi tớ,đ.,food
'dam,tớ,đ.,place
'dang,ngữa,d.,food
'dang,trước,Gt.,time
'dang,xong,đ.,food
'dao,kiếm,đ.,body
'dar,thanh ngang chận ,đt.,body
'dar,đá bàn,d.,animal
'dat 'dat,người hay đi lại,Th.,ill
'dat 'dat,vừa đi vừa chổng đuôi,st.,place
pơ lung,ao,d.,place
'deh,lách,đ.,body
'deh,nổ lách cách,Th.,animal
'deh,nở,đ.,body
'deh pơ'deh,thao thức suốt đêm,dtr.,time
'dei,có,đ.,body
'deu,queo,đ.,place
'di,cả,đt.,time
'dih,trước,Gt.,ill
'dih,đón,đ.,place
'dik,nâng lên,đ.,animal
'dik 'dôk,lên xuống,d.,food
'dim,chưa,trt.,ill
pơlŭng,ao,d.,place
sơlu`ng,ao,d.,place
'ding,ống tre nứa,t.,body
'ding but,nhạc cụ ,trđt,animal
sơlŭng,ao,d.,place
'doh,nổ,đ.,ill
'doh,đeo,đ.,ill
'doi,ngữa,t.,body
ao,ao,d.,place
'dom,dính vào,trđt,food
bău,ao,d.,place
ao,áo,d.,food
'don,lòng trí,t.,time
'don,nghĩ,đ.,time
'don,nhĩ,đ.,place
'don,nhớ,đ.,time
au,áo,d.,time
'don,tưởng,đ.,food
kơlơ̆p,áo,d.,body
'dong,dái loài vật,trđt,animal
'dop,cụp,đ.,food
'dop,lòm,đ.,animal
'dot 'dot,chỉ thở thoi thóp,st.,place
lay,áo,d.,food
amăng,áo,d.,food
'dum,đỏ,t.,ill
'dung,lâu,t.,body
'dup,cụp xuống,dtđv.,time
'dup 'dêp,bật lên bật xuống,trđt,food
'dut,chỉ,trt.,ill
'dut,sâu,t.,animal
sơlŭng,ao chuôm,d.,ill
'duơ̆t,nhổ lên,cpl.,time
ao kơ jung,áo dài,d.,place
'dêl 'dăi,giống như trước,d.,body
'dôh,nổ,đ.,food
'dôl,bộ phận sinh dục,st.,time
'dôn,thêm nữa,dtr.,time
'dông,nổi,đ.,food
'dông,thóp đầu,lt.,body
'dông,đồn lính,t.,ill
'dôp kơ'dôp,đi khom lưng,st.,animal
'dô̆,xin thường ,trt.,body
'dô̆r,khệ,d.,animal
gơxar,ảo giác,d.,food
'dă,đố,đ.,body
'dă hiĕp,sách giáo lý,thđ.,animal
'dăng,cả,đt.,body
'dăo,đáng kiếp,đ.,time
'dĭ,hết,đ.,food
'dĭ,tất cả,đt.,place
'dĭ 'dĭ,cùng có nhau,dtr.,ill
'dĭch,người nô lệ,thđ.,body
'dĭk,thôi,trđt.,body
amiyô,áo lót,d.,food
'dŏk,gì,đt.,place
'dŏl,nhô lên,t.,place
'dŏl,rất no,thđ.,ill
'dŏng,cong,t.,time
'dŏng,nhô ra,dtđv.,animal
'dŏng,uống rượu mừng,cpl.,food
'dŏr 'dŏr,mạch máu chảy,Th.,place
'dŏt,nhổ ra,trđt,body
'dŭi kơ'dŭi,cong lưng chạy,dtđv.,place
'dŭk,thình,đ.,time
'dŭk 'dŭk,tiếng mạch nhảy,dtđv.,ill
'dŭm,loại thuốc lá có lá bầu,trt.,place
ao mi yô,áo lót,d.,thing
'dŭr,tùng,đ.,time
'dŭr 'dŭr,tiếng chân chạy rầm rần trên sàn,thđ.,ill
'dơh hă,không sao đâu,lt.,time
'dơi,có,đ.,time
'dơk,đu,đ.,body
ao đơ̆p toh,áo lót,d.,thing
'dơ̆m,choáng váng,t.,place
'dơ̆m,chòi,đ.,place
'dơ̆ng,đứng,đ.,food
'dơ̆p,râm ran,t.,place
'dơ̆p,đậy,đ.,ill
'dơ̆r,đạp,đ.,body
'dơ̆t,bít lỗ,lt.,animal
'dơ̆t,chận,đ.,ill
'dơ̆t,chống đỡ,đ.,ill
'dơ̆t,phòng bệnh,đ.,ill
'hnhoi,nhìn,đ.,animal
ao hơgăh,áo sơ mi,d.,thing
'iok,lấy,đ.,body
'iôk,bắt,đ.,animal
'iĕ,nho,đ.,place
'iĕ,nhỏ,t.,food
'iŭ,sợ,đ.,body
'jih 'jih,mưa rỉ rả,trt.,body
'jih 'jih,vết thương có mũ rỉ ra ,trđt,ill
'joh 'joh,chảy nước miếng khi thèm ăn gì,trđt,body
'joh 'joh,thèm,đ.,animal
ao kŏngblŏng,áo sơ mi,d.,thing
'joi,liên tiếp,t.,ill
'joi,một cây,thđ.,body
'jom,bu vào,Th.,ill
'jrang,ỏi,đ.,time
'jrep,hút,đ.,ill
'jring,ầm,t.,body
ao kơdrăng,áo sơ mi,d.,thing
'jrõk,chim bìm bịp,st.,time
'jrõk,thình,đ.,ill
no l̆ơ̆ng,áo sơ mi,d.,thing
'jrüng,nghiện rượu,dtđv.,time
'jrăi,chửi thề,đ.,food
'jrỡch 'jrăch,chỉ nhiều hàng thẳng tắp,dtr.,animal
'ju,sấy khô,d.,animal
'juah,hết sạch,đ.,body
'juat,nghề mộc,d.,ill
'jue,thật thà,t.,food
'juit ' juat,đen khịt,st.,time
'jul 'jal,nhảy thoăn thoắt,d.,place
'juơh,thẳng tắp,t.,time
'juơk,vây bẩn,t.,place
'juơt,vết dơ ,dtđv.,time
'jíing 'jrăng,tiếng chiêng trông hỗn hợp,d.,place
'jôm,bu vào,thđ.,time
'jôp,chạm nút,t.,body
'jôr,ốm còi,t.,ill
'jơ'jah,dột,t.,place
'jơ'jih,mưa rỉ ra,st.,body
'jơ'jrip,mưa rỉ rả,st.,food
'jơjih,bị,đ.,animal
ao dei hơ ko,áo sơ mi,d.,thing
'jồ krong,chim bói cá,Th.,food
'la,bị oan,trđt,body
'lak,lột,đ.,animal
sơlŭng đak kơamê̆,ao tù,d.,food
'leh,mắc bẫy,đ.,ill
'leh,sập,đ.,body
'lek,lột,đ.,food
'leng,rụng,đ.,food
'nơ̆m,ấp,d.,time
'long,cái,dtđv.,body
kơ'bal,ấp,d.,ill
rơ,ấp,d.,animal
tơnŏ,ấp,d.,body
'long,nảy,đ.,body
anâm,ấp,d.,place
anâ̆m,ấp,d.,food
'long,thực,t.,place
'long,tốt,t.,body
anẫm,ấp,d.,place
'long adê,vầu,đ.,food
b,b,d.,animal
'long blang,cây bông gòn,dtđv.,food
drăkăn,bà,d.,people
dêkđe,bà,d.,people
krăn,bà,d.,people
kăn,bà,d.,people
nă,bà,d.,people
yă,bà,d.,people
ư,bà,d.,people
bơngai,bà,d.,people
'long kafê,cây cà phê,đt.,ill
'long kosu,cây cao su,trđt,body
'long kăi,cày,đ.,body
dyŏng,bà,d.,people
'long kơpaih,cây bông gòn,t.,place
'long kơphê,cây cà phê,lt.,animal
'long kơsu,cây cao su,cpl.,ill
nă ma,bà,d.,people
'long trang,lau,đ.,time
'long tŏt,trâm,đ.,time
'long tŏt xơ̆k,trâm,đ.,body
'long tŭl,sào chống bè,trđt,time
'long tơt xơk,trâm,đ.,time
yă ,bà,d.,people
'nhă,bã,d.,food
'longtôh,dùi,đ.,food
'luih,lọi,đ.,place
jot,bã,d.,time
'luĕl 'luĕl,nghe nguồn đuôi,trt.,animal
'luĭl 'luĭl,ngoe nguẩy đuôi,Th.,time
'lêp 'lêp,dáng chim vỗ cánh bay,trt.,animal
'lêu 'lêu,chỉ khi nói kèm theo điệu bộ,st.,time
'lôi,ngủi,dtr.,body
'lăn,thinh lặng,đ.,ill
'lĕl 'lĕl,dáng chim vỗ cánh nhẹ,dtđv.,animal
'lĕp,nhơ,t.,food
'lĕp,nhởn,đ.,food
'lĕp 'lĕp,dáng chim vỗ cánh,dtr.,animal
'lŏ,lột,đ.,food
'lŏ,tuổi thiếu niên,dtđv.,time
'lŭch 'lŭch,ngoe nguẩy đuôi,dtđv.,time
'lŭp 'lăp,tiếng vỗ cánh phành phạch,cpl.,food
'lŭp 'lŭp,tiếng vỗ cánh phành phạch,t.,place
'lơ 'lanh  'lơ 'lanh,khua chân,thđ.,food
'lơ 'lanh 'lơ 'lanh,khua chân,trđt,time
'lơ'lĕk,nhức mỏi,Th.,body
'lơ'lĕl,phóng đãng,đ.,place
'lơ'lĕp,nhanh tay,t.,ill
'lơnh,giãy,đ.,place
'lơnh,giụa,lt.,animal
'lơ̆ng,tốt,t.,ill
'lơ̆p,còn thơ ấu,Th.,ill
'lơ̆p,non,t.,ill
'lơ̆p,trẻ,t.,animal
'lơ̆p 'bềnh,vơi,đ.,animal
'lơ̆p loi adrol,trẻ ra,dtr.,place
'lơ̆t,không biết xấu hổ,cpl.,ill
'lưng,tốt,t.,body
'ma,phải,đ.,time
'man xe,đỗ,đ.,place
iă,bã,d.,body
'mem,thương,đ.,time
'mem,yêu,đ.,place
'mem bơnat,mến,đ.,time
'mem bơnat,thương,đ.,food
'mem truh luôch,chung thủy,đ.,ill
'mi,mưa,đ.,animal
nhă,bã,d.,body
thuôk,bả,d.,people
yă,bả,d.,people
'mik,bôi,đ.,body
'miêu,bên trái,d.,place
'miêu,trái,t.,body
'moih,buồn,đ.,place
'moih,ham,đ.,time
'moih,muốn,đ.,body
'moih,mở,đ.,body
'moih,thích,đ.,place
sơ,bả,d.,time
'mong,thù,đ.,time
tơpa,ba ba,d.,body
thuôk kơ'ne,bả chuột,d.,time
kơtum,bà con,d.,people
nă ma,bà con,d.,people
yă dră kăn,bà ngoại,d.,people
yă gah dră kăn,bà ngoại,d.,people
'muôi,rắn mối,đ.,body
'muôi,thằn lằn,đ.,animal
'mânh,mềm,t.,time
'mâu,thơm,t.,animal
'mâu ôm,thối,đ.,food
'mâuphu,thơm,t.,ill
'mê̆,xấu,t.,animal
'măm,ngậm,đ.,body
yă gah kon dră kăn,bà ngoại,d.,people
yă gah kơdiŏng,bà ngoại,d.,people
'măng,cửa ra vào,cpl.,time
yă gah mĕ,bà ngoại,d.,people
'yă,bà ngoại,d.,people
'măng tơm,cửa ra vào,d.,animal
'mĕt,bóp,đ.,body
'mĕt,bấm,đ.,food
'mĕt,véo,đ.,food
yă geh mĕ,bà ngoại,d.,people
yă hơ drai,bà ngoại,d.,people
'mŭi,chôn,đ.,food
'mơn,với,Gt.,body
'mơn,với tay,st.,body
'mơ̆u,hôi,t.,food
yă păh drŏ kăn,bà ngoại,d.,people
'mơ̆u brư̆,hăng,t.,time
'mơ̆u hnong 'ba,nấm rơm,đ.,ill
'na,chớ,lt.,food
'nah,kẻ thì,t.,body
'bok gah dră kăn,bà nội,d.,people
'nao,minh,đ.,animal
'nao,mới,t.,body
'nao,vừa mới,trt.,animal
'nap,nằm rạp xuống,cpl.,time
yă gah bă,bà nội,d.,people
yă gah kon dơ răng,bà nội,d.,people
