tay,viet
của Bắt của pèng,của quý của hiếm
Bắt cất,chưng cất
Bắt cất mỏ lẩu,cất nồi rượu
Bắt pèng,yêu quý
Noọng Bắt pèng,em yêu quý
Bầu,cây
Năm Bầu bươn cẩu,trồng bầu tháng chín
Bẩu,đầu
Lam Bẩu khảu,trói đầu vào
Dú tềnh Bẩu,ở trên đầu
Bấu,không
Bấu chắc,không biết
Hết Bấu đảy,làm không được
Chắc Bấu,biết không
Bấu,chẳng
Bấu,chả
Bấu dăm Bấu bjai dai hom lưng,chẳng cấy chẳng làm cỏ hơi thơm phức
Bấu,đừng
Bấu,chớ
Bấu pây,chớ có đi
Bấu cảng lăng mòn ló,đừng nói gì nữa
Bấu făn,không chấp nhận
Hết pện nẩy ngo Bấu făn,làm như thế tôi không chấp nhận
Pú Bấu mì dá,ông mất rồi
Bấu xay,chớ đừng
Bấu xay hết,chớ có làm
Bấu xay pin mạy,chớ có trèo cây
Bâu,lá
Bâu,tờ
Bâu chỉa,tờ giấy
Bâu,bức
Bâu slư,bức thư
Bâu,tấm
Bâu slửa,tấm áo
Bâu,cái
Bâu khoá,cái quần
Bâư khẻ,tờ văn khế
Bẩu,rạo
Bẩu pja,rạo bắt cá
Bẩu,buồn
Bẩu nòn,buồn ngủ
Bẩu,khờ khạo
cần Bẩu,người khờ khạo
Bẩu,chưa khô hẳn
Be,xoè
Be pic,xoè cánh
Be,phình
Toọng Be,bụng phình
Be,bạnh ra
Cần pác Be,người mồm bạnh ra
Be,nằm ượt
Be,banh
Be nòn quá nâư,banh ra ngủ cả buổi sáng
bè bẹo,chê bai
bẻ dê,dê
béc,vác
Mọi rườn pang béc fừn nâng,mỗi nhà giúp một vác củi
Lan béc hẩu pú,cháu vác hộ ông
béc kha cải,vác chân to
béc kha cải,nịnh hót
béc coóc,vác mặt
Béc coóc pây liệu,vác mặt đi chơi
Ben,cơi trầu
Ben,gói
Ben khẩu nâng,một gói cơm
Ben da,gói thuốc
Ben đảy pác khêm bấu Ben đảy pác cần,gói được mũi kim
Ben boóc,gói ghém
bén,cái mê
Pằm mằn oóc bén,băm sắn ra cái mê
bẻo,béo
Cáy bẻo mì lai pì,gà béo có nhiều mỡ
bẻo bựt,béo múp
bẻo bựt,béo ị
Pú ké bẻo bựt,ông già béo ị
bèo,bèo cái
Bên,bay
Nộc Bên khảu đông,chim bay về rừng
Lồm Bên bâu slửa,gió thổi bay cái áo
Bên báng,chạy vội
Bếnh,rặn
Bết,câu
Pác Bết,lưỡi câu
Tức Bết pja,câu cá
Bi bốc,xương sông
Bì,so kè
Tò Bì căn,so kè nhau
bỉ,con bướm
bỉ bươn slam,bướm tháng ba
bỉ,con ngài
bỉ mọn,con ngài tằm
slắn bặng bỉ phủ,run như con ngài đực
bỉ,bí
bỉ xu khêm,bí trôn kim
bỉ,ngạt
Đăng bỉ,ngạt mũi
bí,bóc
bí bắp,bóc ngô
bí,vạch
bí pha mo,vạch liếp nhòm
bí,mở
Căm bí slí căm lắp,một đêm mở mắt
bí nhác,bửa toác
Ròi phéc bí nhác,vết nứt bửa toác ra
bíp bjáp,răng rắc
Mạy tắc bíp bjáp,cây gẫy răng rắc
bít,gianh nứa
Tắp bít mùng rườn,đánh gianh lợp nhà
bít,ngắt
bít nhỏt phjắc bủng,ngắt ngọn rau muống
bít,cấu
bít,nhặt
bít phjắc hết ngài,nhặt rau làm bữa trưa
bỉu,quằn
pjạ bỉu,dao bị quằn
bỉu,méo
Nghé chúp bỉu,chiếc nón bị méo
bỉu,mẻ
Pát bỉu,bát mẻ
bỉu boót,sứt mẻ
bỉu bương,méo mó
bỉu bương,vênh váo
bjai,giãy cỏ
bjai rây,giãy cỏ rẫy
bjai nà,làm cỏ lúa
Bjải,nát
Bjải bjác,nát bét
Bjải bjéT,nát
Bjải bjéT,nhão nhoét
Bjải lát,nát toét
Pẻng chuầy vjếc Bjải lát,bánh dầy nhão nát toét
Bjào bjào,rào rào
Bjào bjào,ầm ầm
Phuối tuyện Bjào bjào,nói chuyện ầm ầm
Bjáp bjáp,răng rắc
Mạy tắc Bjáp bjáp,cây gẫy răng rắc
Bjắc,"chửi, chửi bới"
Bjắc lục lan,chửi con cháu
Tò thư tò Bjắc căn,chửi bới nhau
Bjắc bjoi,chửi bới
Da ké Bjắc bjoi cần hết lặc,bà già chửi bới kẻ ăn trộm
Bjằng bjằng,rầm rầm
Slủng féc Bjằng bjằng,súng nổ rầm rầm
Bjằng bjằng,ròn rã
Chang rườn phuối khua Bjằng bjằng,trong nhà nói cười ròn rã
Bjắt,uốn
Bjắt cái tậu vai,uốn cây gậy mây song
Bjắt tàng hẩu năn,nắn đường cho thẳng
biép bjép,lép bép
Bjể,bóc
Bjể oóc ngòi,bóc ra xem
Bjể,vạch ra
Bjể,tách ra
Bjể từng lúp,tách ra từng lớp
Bjể nặm khảu lứp toong,tách từng lớp lá cho nước chảy vào trong
Bjoóc,hoa
Bjoóc mạ phông nả đán rung lường,hoa mạ nở trên vách núi rực rỡ
Bjoóc coi,hoa hồng
Bjoóc ngậu,hoa sen
bjoi,"ống, giỏ đánh lươn"
Bjốp bjốp,đôm đốp
Mạy tắc Bjốp bjốp,cây gãy đôm đốp
bjúc,rúc đầu
Vài bjúc lị khảu sluôn,trâu rúc bờ rào vào vườn
Bjùng bjùng,sùng sục
Cháo nặm thương phật Bjùng bjùng,chảo mật sôi sùng sục
Bjùng bjùng,nhung nhúc
bo,mo
bo máy,mo măng
bo làng,mo cau
Bó,nguồn nước
Bó bủn,nguồn nước phun
Bó,mỏ
Bó,giếng
Bó nặm,giếng nước
bỏ,bó
bỏ thú,bó đũa
Boóc khẩu lam,ống cơm lam
Boóc thúa kheo,ống đỗ xanh
Boóc cân,ống đong gạo
bom đếch pin mạy,khích trẻ trèo cây
bom cần tò phất,cổ vũ người khác vật nhau
Bỏm bò,ống bơ dùng làm dụng cụ đong gạo
đảng chin bon on chin phước,"rét ăn mon, ấm ăn khoai sọ"
bon phước hom,Dọc khoai sọ hương
bỏn,xoi mói
Boong te tò bỏn căn,chúng nó xoi mói nhau
Bón,rau ngót rừng
Bón,khoét
Bón khảu căn,khoét vào bờ
Bón,chen vào trong
Năng Bón khảu chang,ngồi chen vào giữa
Bón,rúc
Bón,mót
au mằn Bón lám,mót khoai còn sót
Bọng,bỏng
Men phầy Bọng,bị lửa bỏng
Boong,lòng
Boong xay,lòng cối xay
Boong,chúng
Boong hây,chúng ta
Boong,người ta
Boong khua,người ta cười
Boỏng,gióng
Boỏng,đoạn
Boỏng,chặng
Boỏng tơi,chặng đường đời
Boỏng pjạ,chuôi dao
Boóng,đục
Boóng pjot,khoét cho thủng
Boóng,xâu
Boóng khêm,xâu kim
Boóng,lúm
Kẻm Boóng,má lúm đồng tiền
Boóng,"khều, nhể"
Boóng nam,khều gai
bóp,bừa vỡ
bóp nà,bừa ruộng
bỏp,bóp
bỏp cưa,bóp muối
bỏp cò thai,bóp cổ chết
bỏp,thắt
bỏp pác cuôi,thắt miệng sọt
bót,mù
Tha bót,mắt mù
bót,lép
Nghé bắp mì lọi mặt bót,cái ngô có một số hạt lép
Bồ,cái bồ
Bồ khẩu coóc,bồ thóc
Bốc,cạn
Khuổi Bốc,khe cạn
Bốc nhác,cạn nhăn
Nà Bốc nhác,ruộng cạn nhăn
Bổi,"hậu bối, nhọt ở lưng"
Bôm khẩu cẩu cần,mâm cơm chín người ăn
Tọn Bôm,dọn mâm
Cáy tốc Bôm khẩu slan,gà rơi vào mâm gạo
Bôm chè,khay chè
Bôm toòng,mâm đồng
Bồm bồm,ầm ầm
Nặm tốc tat Bồm bồm,nước rơi xuống thác ầm ầm
Bồm bồm,đùng đùng
slủng phéc Bồm bồm,súng nổ đùng đùng
Bốm,xào
Mảy pàu xào Bốm,măng vầu xào cho thêm nước
Bôn,trời
Bôn khả fạ khiếc,trời giết trời chém
Bông,bù xù
Hua Bông,chảu nhoại
Bông,tơi
thúa kheo khủa Bông,đỗ xanh nấu chín rồi rang tơi
Bông,nở
Cáy khôn Bông,gà lông nở
Bông,phồng
Khẩu sluy Bông,bánh bỏng phồng
Bông ban,nở nang
Slao nóm Bông ban,con gái mới lớn trông nở nang
Bống,choán vào trong
Bống khảu chang rây,choán vào giữa đám rẫy
Bống,moi
Bống slẩy cáy,moi ruột gà
Bống báng,nham nhở
Lốc thúa tôm Bống báng,nhổ lạc nham nhở
Bộp bạp,bỗ bã
Chin phuối Bộp bạp,ăn nói bỗ bã
Khẩu dên Bốt,cơm nguội thiu
Bốt chàm,ngâm cây chàm làm thuốc nhuộm
Bơn,ngước
Tha Bơn khửn fạ,mắt ngước lên trời
bủa,cái búa
bủa hẳm mạy,búa chặt cây
Búa,hành ống
Phjắc Búa hom,hành ống thơm
Búa,ống
Búa mạy pjeo,ống nứa
Búa,nòng
búa bùa,bùa
búa bùa mèng dây,bùa con tò vò
bủi múi,múi
bủi múi mác pục,múi bưởi
Bủn,phun
Bó Bủn,giếng phun
Bủn,trồi ra
nựa chang cuôi Bủn oóc,thịt trong sọt trồi ra
Bủn,bĩu môi
Bấu lao cần Bủn pác diềm khua,không sợ người ta bĩu môi chê cười
búng,nơi
búng hâu,nơi nào
búng,vùng
Búng bính,sủi tăm
Búng bính,sóng sánh
Pát nặm tên Búng bính,bát nước đầy sóng sánh
Búng fạ,vùng trời
Búng slung,vùng cao
Búng tông nà,vùng đồng bằng
Buốc,đầm lầy
Buốc nặm lậc,đầm nước sâu
Buốc quang,đầm nai tắm
Buốt,nảy lộc
Buốt,mọc
búp,"lõm, bẹp"
Mỏ toòng búp,nồi đồng bẹp
Búp báp,lồi lõm
Tàng Búp báp,mặt đường lồi lõm
Bút bú,ống chắn sợi ở khung dệt
Nặm bủn Bụt bụt,nước phun lên phụt phụt
Bụp bụp,đánh bụp
Bụp bụp tốc lồng,rơi đánh bụp
Bử bí,lắp
Phuối Bử bí,nói lắp
Bưa,bột
Bưa pẻng,bột làm bánh
Bưa cao,bột bánh khảo
Bưa,duốc
Bưa pja,duốc cá
Bứa,"chán, nản"
Táng dú hăn Bứa,ở một mình thấy chán
Bứa ngau,chán ngán
Rây khảu tan Bứa ngau bấu xoong,đám lúa nương hái đến chán ngán mà chưa xong
Bửng,được thể
Đảy Bửng phua đa rại,"được thể chồng bênh, ngúng nguẩy"
Bửng hảy,bật khóc
Bươn,tháng
Khuốp pi slíp nhị Bươn,một năm mười hai tháng
Dú Bươn,tháng ở cữ
Bươn chiêng,tháng giêng
Bươn ết,tháng một
Bươn lạp,tháng chạp
Bươn nhị,tháng hai
Bưởng,bên
Bưởng xảng,bên cạnh
Bưởng,đằng
Bưởng lăng,đằng sau
Bưởng,"phía, phương"
Bưởng bắc,phía bắc
Ca,con quạ
Nả đăm bặng nả Ca,mặt đen như mặt quạ
Ca,cây núc nác
Co mạy Ca,gốc cây núc nác
Phắc Ca,quả núc nác
Ca,câu
Ca tuyện,câu chuyện
Ca,cái
Ca tua ma,cái con chó này
Ca cào,con dơi
Ca cào chin mác pái,dơi ăn quả vải
Ca đác,con vượn
Chạn bặng Ca đác,lười như con vượn
Ca đáng,quạ khoang
Ca mả,cơ mà
Te đang slí hết Ca mả,nó đang làm cơ mà
Ca nặm,con cốc
Ca nặm pắt pja,con cốc bắt cá
Ca pát,con nhái bén
tha quác bặng tha Ca pát,mắt to như mắt nhái bén
Ca rạc,váng nước
Ca rệp,con ve trâu
Ca rộc,con cóc
Me Ca rộc lục nàng tiên,mẹ xấu như cóc con đẹp như tiên
Cà,gianh
Nhả Cà,cỏ gianh
Tàng bấu pây rốc nhả Cà,đường không đi rậm cỏ gianh
Rườn Cà,nhà lợp cỏ gianh
Cà,mắc
Coóc bẻ Cà lị,sừng dê vướng hàng rào
Cà,hóc
Cảng pja Cà cò,ăn cá hóc xương
Cà,cơ
ay,lèo chin da chẳng đây Cà₃
Cà,đấy
Đảy dá Cà,được rồi đấy
Te mà thâng dá Cà,nó về đến rồi mà
Cà khí,cà khịa
Lục đếch Cà khí xáu căn,trẻ con cà khịa với nhau
Cà này kỷ lai giờ,bây giờ là mấy giờ
Cà này kha bản mì điện dá,hiện nay làng bản có điện rồi
Te hết pện Ca rại,nó làm thế thật
Cà răng,cái gì
Chang tây mì ăn Cà răng cải cộp,trong túi có cái gì to đùng
Cà rìa,chuột chù
Cà rình,thật
Cà ro,khá
Tua nẩy cải Cà ro,con này khá to
Hết pện nhằng Cà ro,làm thế còn tương đối
Ca,căng sữa
Nồm Ca,vú căng sữa
Ca,hình vị tạo từ
Cải Ca kếch,to đùng
Ca điên,rõ ràng
Nhằng chứ Ca điên,còn nhớ rõ ràng
Ca điên,y hệt
Tồng căn Ca điên,giống nhau y hệt
Ca ngáng,khểnh
Nòn Ca ngáng chang chường,nằm khểnh trên giường
Ca ngộc,chồm chỗm
Năng Ca ngộc,ngồi chồm chỗm
Cá,người anh
Cần nẩy le pi Cá khỏi,đây là người anh của tôi
Cá,anh
Sloong Cá náo mà lo?,hai anh vừa mới đến à?
Cá,bố
Cá nằm thâng pi cón,bố nhớ lại năm trước
Cạ,bảo
Lục ơi,mà mẹ bảo
Cạ,là
Chin bặng Cạ slưa,ăn như là hổ
Cạ,rằng
Hăn Cạ,nghe nói rằng
Cạ cứ,bảo ban
Cạ tinh,vâng lời
Lục nắm Cạ tinh le lục tăn,con không nghe lời là con hư
Các slảo phjác slửa,gác sào phơi áo
Mừ Các phjác,tay gác trán
Bấu ngần,bấu chèn kha các pha
Các đuây,bắc thang
Ca,mái hiên
Nằng dú Ca,ngồi dưới mái hiên
Ca,sân
Cáy chin khẩu chang Ca,gà ăn thóc trên sân
Cai,phố xá
ooc Cai khảu bản,ra phố vào làng
Caiz,quản lý
Caiz bấu lồng,quản không nổi
Hết Caiz,làm quản lý
Caiz,hà hiếp
Pây Caiz hâu,đi hà hiếp người ta
Cai cuốn,"cai quản, quán xuyến"
Cai cuốn fiếc rườn,quán xuyến việc nhà
Cài,nhả
Chin ỏi Cài nhửa,ăn mía nhả bã
Cài bấu ooc,nựn bấu lồng
Cài,rặm
ủm nhù men Cài,ôm rơm bị rặm
Hứa oóc hăn cài coọc lai,ra mồ hôi thấy ngứa ngáy lắm
Cuộn mạy CảI,khúc gỗ to
Mu chin bắp CảI khoái,lợn ăn ngô chóng lớn
Cần CảI,người lớn
Hết CảI,làm chức vụ cao
Dú CảI,tự cao
Nà CảI,thửa ruộng rộng
Cải kếch,to tướng
Cải làn,rau cải làn
Cải luông,"to lớn, đồ sộ, lớn lao"
Mì pổn Cải luông,có vốn to lớn
Công đức Cải luông,công đức lớn lao
Cái,bắc
Cái cấu,bắc cầu
Cái đuây khửn các,bắc thang lên gác
Cái slảo khảu rằng lày,bắc sào vào tổ kiến
Cái,gác
Cái kha khửn tắng,gác chân lên ghế
Cái,cây
Cái slâu,cây cột
Cái,sợi
Cái lền,sợi dây
Cái,cái
Cái tậu,cái gậy
Cái có,gây dựng
Cái có pền bản con,gây dựng nên làng xóm
Cái có pền tuyện,dựng chuyện
Cái hin,cây số
Thái Nguyên pây Hà Nội 80 Cái hin,Thái Nguyên đi Hà Nội 80 cây số
Cam,cây cam
Cam,bệnh cam
Đếch pền Cam,trẻ bị bệnh cam
Cam,thì
Cam chỉa,cam giấy
Cam lòn,cam tẩu mã
cam,quấn
Luồng cam,rồng quấn
Càm,bước
Xấu sloong Càm kha,gần hai bước chân
Càm,đi
Càm,mũi
Càm khêm,mũi chỉ
Càm,"ngậm, càm"
Ma Càm đục,chó càm xương
Cạm,cửa ngõ
Khay Cạm oóc chẳng chung xe pây đảy,mở cửa ngõ ra mới dắt xe đi được
Can,ráo
Nà Can,ruộng ráo nước
Can,quan hệ
Can,liên hệ
Nắm Can lăng thâng te,không quan hệ gì đến nó
Can,ngăn cản
Can nắm hẩu tò đá,can không để chửi nhau
Can,khuyên răn
те Can lục bấu pây liệu,mẹ khuyên can con không đi chơi
Càn,đòn gánh
Càn háp khẩu,đòn gánh gánh thóc
Càn,cần
Càn bết,cần câu
Loà slảng lèo thư Càn nặm,làm nền nhà phải lấy thăng bằng
Càn sliểm,đòn xóc
Cản,cái cán
Cản,chuôi
Cản slíu,chuôi đục
Cản,vội vã
Cản Cản pây hâu,vội vã đi đâu
Can,bò lan
Nhả dú cằn Can oóc nà,cỏ trên bờ bò lan ra ruộng
Can,leo
Can,càn
Can pàn pù thấu mu đông,càn sườn núi săn lợn rừng
Cạn,nghẹn
khỉ tắc neo Cạn,cố gắng đến kiệt sức
Cang,cái vò lớn
Cang to nặm,vò to đựng nước
Càng,hàm
Càng khẻo,hàm răng
ả pác cặm Càng,há miệng vướng hàm
Càng,cằm
Càng nhuốt,cằm đầy râu
Cảng,xương
Cảng pja,xương cá
Cảng chằm,xương dăm
Cảng,càng
Cảng sloai Cảng đét,càng trưa càng nắng
Cảng cỏ,nói chuyện
Lai cần Cảng cỏ bjằng bjằng,nhiều người nói chuyện rầm rầm
Cảng mjay,nói lái
cảng pjẻ,nói ngược
Cáng,cành
Cáng,chi
Cáng chà,cành dong
Năm noòng luây Cáng chà,nước lũ cuốn cành dong
Cáng lò,"cây thân gỗ, cao to, cành thẳng"
Cáng lò,chim rừng có tiếng hót vang xa
Canh hấy,canh tác
Canh hấy,cày cấy
Cao,cao xương
Cao,lão
Cao,chú
Cao,tảng
Cao,thứ
Cao lăng,thứ gì
Cáo vá,khốn khổ
Cần Cáo vá,người khốn khổ
Cảo,khoeo chân
Cảo,máy ép
Cảo,máy cán
Nghé Cảo ỏi,máy ép mía
Nghé Cảo phải,cái máy cán bông
Cảo,cán
Cảo,ép
Cảo phải,cán bông hạt
Cảo,quấn chặt
Sloong cái lền Cảo tó căn,hai sợi dây quấn chặt với nhau
Cảo nảo,làm phiền
Bấu đảy Cảo nảo pi noọng,không được làm phiền bà con
Cảo phải,cán bông
Cảo xảo,làm phiền
Cáo,cạo
Cáo niếng lếch,cạo gỉ sắt
Cáo quán,khó khăn
Hảo lai Cáo quán chẳng quá đảy kéo,khá là khó khăn mới vượt được đèo
Cáo quán,gay go
Cáp,mo
Cáp làng,mo cau
Cáp,bẹ
Cáp,gặp
Tàng Cáp,nhiều con đường gặp nhau
Cáp,góp
Cáp pổn hết puôn,góp vốn đi buôn
Cáp,ghép
Cáp,tham gia
Hâu hết lặc lầu bấu Cáp,người ta ăn cắp mình không tham gia
Cáp bo,mo
Cáp bo máy,mo măng
Cáp hẻn,con hến
Cáp ngước,hàm ếch
Cáp ngước,mang cá
Cap,cái mè
Cap cà,hàng mè
Bâu chỉ nếp dú Cap cà,mảnh giấy cài ở hàng mè
Cạp kha,bẹn
Bát Cạp kha,nhọt ở bẹn
Cạp thây,bắp cày
Cát,dây sắn
au thau Cát mà lam,lấy dây sắn về buộc
Cát,củ đậu
Dự sloong cân mằn Cát,mua hai cân củ đậu
Cát,gạt
Cát nặm mương khảu nà,gạt nước mương vào ruộng
Cát,tách
Cát nục xoi,rau cải bẹ quăn
Cat,chim dẻ cùi
Cat,khản tiếng
Tầu lồm đảng mẹn cò Cat,gặp gió lạnh bị khản tiếng
Cat,quá
Pây Cat ngài,đi quá bữa trưa
Càu càu,cầm cập
Te tầu phôn,đảng slắn Càu càu
Cáu,cũ
Slửa Cáu,áo cũ
Thì này bấu tồng thì Cáu,thời nay không giống thời cũ
Cáu ké,cũ kỹ
Lân tuyện Cáu ké,kể chuyện cũ kĩ
Cáu ké,đời xưa
Hết nèm lổi Cáu ké,làm theo kiểu ngày xưa
Cậu,con cú mèo
Tha toòng bặng tha Cậu,mắt sáng như mắt cú mèo
Cau,vỏ rễ ăn trầu
Hết pện Cay bấu chư,làm thế kể ra không đúng
Cay tố mì xiên xích,áng chừng cao nghìn mét
