tay,viet,pos,theme
Bảt toọc,một lèo,N,
Bau,bị phù,V,
Bau,nghịch ngợm,N,
Bắc,phương bắc,N,place
Bắc,cái vợt,N,
Bắc,mảnh,M,
Bắc,nhăn,M,
Nả Bắc,mếu,M,
Bắc,cấu,M,
Bắc,bấm,V,
Bắc,vồ,M,
Slưa Bắc,hổ vồ,N,
Băc bắm,chì chiết,N,
Băc bắm,nhiều lời,N,
Bắc bử,lúng búng,N,
Bắc ngắng,mếu máo,N,
Bắc ten,chỉ đích danh,M,
Bẳm,mắm,N,
Pja Bẳm,cá mắm,N,
Bẳn,ném,V,
Bẳn hin,ném đá,V,
Bẳn,bắn,V,
Bẳn nả,bắn ná,V,
Băng,băng,M,
Băng bại,vội vàng,A,
Bẳng,cái,T,
Bẳng phưa,cái bừa,T,
Bẳng fùm,cái go cửi,M,
Bẳng,ống đựng nước,N,place
Bặng,như,C,
Bặng cạ,như là,C,
Bắp,ngô,M,
Bưa Bắp,bột ngô,N,
Sluôn Bắp,vườn ngô,N,
Bặp,nước,N,place
Chin Bặp,uống nước,V,
Bắt,ngạt,M,
Bắt châu,ngạt thở,V,
Bắt,đắt,A,
Khai Bắt,bán đắt,V,
Bắt,quý,M,
Bắt cất,chưng cất,V,
Bắt pèng,yêu quý,V,
Bầu,cây,N,
Bẩu,đầu,N,
Bấu,không,R,
Bấu chắc,không biết,V,
Chắc Bấu,biết không,V,
Bấu,chẳng,R,
Bấu,chả,M,
Bấu,đừng,R,
Bấu,chớ,M,
Bấu pây,chớ có đi,V,
Bấu făn,không chấp nhận,V,
Bấu mì,không còn,V,
Bấu xay,chớ đừng,C,
Bâu,lá,N,
Bâu mạy,lá cây,N,
Bâu mòn,lá dâu,N,
Bâu,tờ,Nc,
Bâu chỉa,tờ giấy,N,
Bâu,bức,M,
Bâu slư,bức thư,N,
Bâu,tấm,Nc,
Bâu slửa,tấm áo,N,
Bâu,cái,T,
Bâu khoá,cái quần,N,
Bâư khẻ,tờ văn khế,N,
Bẩu,rạo,M,
Bẩu pja,rạo bắt cá,N,
Bẩu,buồn,A,
Bẩu nòn,buồn ngủ,V,
Bẩu,khờ khạo,N,
cần Bẩu,người khờ khạo,N,
Bẩu,chưa khô hẳn,R,
Be,xoè,M,
Be pic,xoè cánh,V,
Be,phình,M,
Toọng Be,bụng phình,N,
Be,bạnh ra,V,
Be,nằm ượt,V,
Be,banh,N,
bè bẹo,chê bai,V,
bẻ dê,dê,M,
béc,vác,M,
béc coóc,vác mặt,V,
Ben,cơi trầu,N,
Ben,gói,M,
Ben da,gói thuốc,V,
Ben,gói,M,
Ben boóc,gói ghém,N,
bén,cái mê,V,
bẻo,béo,A,
bẻo bựt,béo múp,M,
bẻo bựt,béo ị,M,
bèo,bèo cái,T,
Bên,bay,V,
Bên báng,chạy vội,V,
Bếnh,rặn,M,
Bết,câu,N,
Pác Bết,lưỡi câu,N,
Bi bốc,xương sông,N,
Bì,so kè,V,
bỉ,con bướm,N,
bỉ,con ngài,N,
bỉ mọn,con ngài tằm,M,
bỉ,bí,A,
bỉ,ngạt,M,
Đăng bỉ,ngạt mũi,V,
bí,bóc,M,
bí bắp,bóc ngô,V,
bí,vạch,M,
bí,mở,V,
bí nhác,bửa toác,N,
bíp bjáp,răng rắc,N,
bít,gianh nứa,N,
bít,ngắt,M,
bít,cấu,M,
bít,nhặt,V,
bỉu,quằn,M,
pjạ bỉu,dao bị quằn,V,
bỉu,méo,M,
bỉu,mẻ,M,
Pát bỉu,bát mẻ,N,
bỉu boót,sứt mẻ,N,
bỉu bương,méo mó,M,
bỉu bương,vênh váo,N,
bjai,giãy cỏ,N,
bjai rây,giãy cỏ rẫy,N,
bjai nà,làm cỏ lúa,V,
Bjải,nát,A,
Bjải bjác,nát bét,M,
Bjải bjéT,nát,A,
Bjải bjéT,nhão nhoét,N,
Bjải lát,nát toét,M,
Bjào bjào,rào rào,M,
Bjào bjào,ầm ầm,M,
Bjáp bjáp,răng rắc,N,
Bjắc,"chửi, chửi bới",CH,
Bjắc bjoi,chửi bới,V,
Bjằng bjằng,rầm rầm,M,
Bjằng bjằng,ròn rã,N,
Bjắt,uốn,M,
biép bjép,lép bép,N,
Bjể,bóc,M,
Bjể,vạch ra,V,
Bjể,tách ra,V,
Bjoóc,hoa,N,
Bjoóc coi,hoa hồng,N,
Bjoóc ngậu,hoa sen,N,
bjoóc ve,hoa râm bụt,N,
Bjốp bjốp,đôm đốp,N,
bjúc,rúc đầu,N,
Bjùng bjùng,sùng sục,N,
Bjùng bjùng,nhung nhúc,N,
bo,mo,M,
bo máy,mo măng,N,
bo làng,mo cau,N,
Bó,nguồn nước,N,place
Bó bủn,nguồn nước phun,N,place
Bó,mỏ,N,place
Bó hích,mỏ thiếc,N,place
Bó,giếng,N,place
Bó nặm,giếng nước,N,place
bỏ,bó,M,
bỏ thú,bó đũa,N,
Boóc,ống,N,
Boóc,ống đong gạo,N,
Boóc cân,ống đong gạo,N,
bom,khích,M,
bom,cổ vũ,V,
bon,cây mon,N,
bon,dọc khoai,N,
bỏn,xoi mói,N,
Bón,rau ngót rừng,N,
Bón,khoét,M,
Bón,chen vào trong,V,
Bón,rúc,M,
Bón,mót,M,
Bọng,bỏng,A,
Boong,lòng,N,
Boong xay,lòng cối xay,N,
Boong,chúng,P,
Boong hây,chúng ta,P,
Boong,người ta,P,
Boong khua,người ta cười,P,
Boỏng,gióng,M,
Boỏng,đoạn,N,
Boỏng tàng,đoạn đường,N,place
Boỏng,chặng,M,
Boỏng tơi,chặng đường đời,N,place
Boỏng pjạ,chuôi dao,N,
Boóng,đục,A,
Boóng pjot,khoét cho thủng,E,
Boóng,xâu,M,
Boóng khêm,xâu kim,V,
Boóng,lúm,M,
Boóng,"khều, nhể",CH,
Boóng nam,khều gai,N,
bóp,bừa vỡ,V,
bóp nà,bừa ruộng,N,
bỏp,bóp,M,
bỏp cưa,bóp muối,N,
bỏp,thắt,M,
bót,mù,A,
Tha bót,mắt mù,N,
bót,lép,M,
Bồ,cái bồ,N,
Bốc,cạn,M,
Khuổi Bốc,khe cạn,N,place
Bốc nhác,cạn nhăn,M,
Bôm,mâm,N,
Tọn Bôm,dọn mâm,V,
Bôm,khay,M,
Bôm chè,khay chè,N,
Bôm toòng,mâm đồng,Nu,
Bồm bồm,ầm ầm,M,
Bồm bồm,đùng đùng,M,
Bốm,xào,M,
Bôn,trời,N,place
Bông,bù xù,V,
Hua Bông,chảu nhoại,N,
Bông,tơi,M,
Bông,nở,V,
Bông,phồng,M,
Bông ban,nở nang,V,
Bống,choán vào trong,E,
Bống,moi,M,
Bống báng,nham nhở,M,
Bộp bạp,bỗ bã,N,
Bốt,thiu,M,
Bốt,ngâm ủ,V,
Bơn,ngước,M,
bủa,cái búa,N,
Búa,hành ống,N,
Búa,ống,N,
Búa,nòng,N,
Búa slủng,nòng súng,N,
búa bùa,bùa,M,
bủi múi,múi,M,
Bủn,phun,V,
Bó Bủn,giếng phun,V,
Bủn,trồi ra,V,
Bủn,bĩu môi,V,
Bủng,rau muống,M,
Bủng,dây bìm bìm,N,
búng,nơi,N,place
búng hâu,nơi nào,P,place
búng,vùng,N,place
Búng bính,sủi tăm,V,
Búng bính,sóng sánh,N,
Búng fạ,vùng trời,N,place
Búng slung,vùng cao,N,place
Buốc,đầm lầy,N,place
Buốc quang,đầm nai tắm,N,place
Buốt,nảy lộc,M,
Buốt,mọc,V,
búp,"lõm, bẹp",CH,
Búp báp,lồi lõm,N,
Bụt bụt,phụt phụt,N,
Bụp bụp,đánh bụp,V,
Bử bí,lắp,V,
Bưa,bột,N,
Bưa pẻng,bột làm bánh,N,
Bưa cao,bột bánh khảo,N,
Bưa,duốc,M,
Bưa pja,duốc cá,N,
Bứa,"chán, nản",V,
Bứa ngau,chán ngán,V,
Bửng,được thể,V,
Bửng hảy,bật khóc,V,
Bươn,tháng,N,time
Dú Bươn,tháng ở cữ,E,time
Bươn chiêng,tháng giêng,M,time
Bươn ết,tháng một,N,time
Bươn lạp,tháng chạp,M,time
Bươn nhị,tháng hai,N,time
Bươn nhuận,tháng nhuận,N,time
Bưởng,bên,N,
Bưởng xảng,bên cạnh,N,place
Bưởng,đằng,N,
Bưởng lăng,đằng sau,N,place
Bưởng,"phía, phương",N,
Bưởng bắc,phía bắc,N,place
Ca,con quạ,N,
Ca,cây núc nác,M,
Phắc Ca,quả núc nác,N,
Ca,câu,N,
Ca tuyện,câu chuyện,N,
Ca,cái,T,
Ca cào,con dơi,N,
Ca đác,con vượn,N,
Ca đáng,quạ khoang,N,
Ca mả,cơ mà,C,
Ca nặm,con cốc,N,
Ca pát,con nhái bén,V,
Ca rạc,váng nước,N,place
Ca rệp,con ve trâu,N,
Ca rộc,con cóc,N,
Cà,gianh,M,
Nhả Cà,cỏ gianh,N,
Cà,mắc,M,
Cà,hóc,M,
Cà,cơ,M,
Cà,đấy,P,
Cà khí,cà khịa,N,
Cà này,bây giờ,P,time
Cà này,hiện nay,N,time
Ca rại,"thật, thật đấy",T,
Cà răng,cái gì,P,
Cà rìa,chuột chù,N,
Cà rình,thật,T,
Cà ro,khá,R,
Ca,căng sữa,V,
Nồm Ca,vú căng sữa,V,
Ca điên,rõ ràng,A,
Ca điên,y hệt,M,
Ca ngáng,khểnh,M,
Ca ngộc,chồm chỗm,N,place
Cá,người anh,N,
Cá,anh,Nc,
Cá,bố,N,
Cạ,bảo,V,
Lục ơi,mà mẹ bảo,C,
Slon Cạ,dạy bảo,V,
Cạ,là,C,
Cạ,rằng,C,
Hăn Cạ,nghe nói rằng,V,
Cạ cứ,bảo ban,V,
Cạ tinh,vâng lời,V,
Các,gác,M,
Các,gác,M,
Các,bắc,N,
Các đuây,bắc thang,N,place
Ca,mái hiên,N,place
Ca,sân,N,place
Cai,phố xá,M,place
Caiz,quản lý,V,
Hết Caiz,làm quản lý,V,
Caiz,hà hiếp,N,
Cài,nhả,M,
Cài,rặm,M,
cài coọc,ngứa ngáy,N,
CảI,to,A,
CảI,lớn,A,
Cần CảI,người lớn,N,
Dú CảI,tự cao,P,
CảI,rộng,A,
Nà CảI,thửa ruộng rộng,A,place
Cải cộp,to đùng,A,
Cải kếch,to tướng,N,
Cải làn,rau cải làn,N,
Cái,bắc,N,
Cái cấu,bắc cầu,N,
Cái,gác,M,
Cái,cây,N,
Cái slâu,cây cột,N,
Cái,sợi,N,
Cái lền,sợi dây,N,
Cái,cái,T,
Cái tậu,cái gậy,N,
Cái có,gây dựng,V,
Cái hin,cây số,M,
Cam,cây cam,N,
Cam,bệnh cam,N,
Cam,thì,C,
Cam chỉa,cam giấy,N,
Cam lòn,cam tẩu mã,N,
Cam tổng,cam sành,N,
cam,quấn,V,
Luồng cam,rồng quấn,V,
Càm,bước,V,
Càm pây,bước đi,V,
Càm,đi,V,
Càm kha,đi bộ,V,
Càm tàng,đi đường,V,place
Càm,mũi,N,
Càm khêm,mũi chỉ,N,
Càm,"ngậm, càm",CH,
Cạm,cửa ngõ,M,place
Can,ráo,M,
Nà Can,ruộng ráo nước,N,place
Can,quan hệ,N,time
Can,liên hệ,V,
Can,ngăn cản,V,
Can,khuyên răn,V,
Càn,đòn gánh,N,
Càn,cần,V,
Càn bết,cần câu,V,
Càn nặm,thăng bằng,E,
Càn sliểm,đòn xóc,V,
Cản,cái cán,T,
Cản lủa,cán mai,N,
Cản,chuôi,M,
Cản slíu,chuôi đục,N,
Cản,vội vã,A,
Can,bò lan,V,
Can,leo,V,
Can,càn,M,
Cạn,nghẹn,M,
Cang,cái vò lớn,A,
Càng,hàm,M,
Càng khẻo,hàm răng,P,
Càng,cằm,M,
Càng nhuốt,cằm đầy râu,V,
Cảng,xương,N,
Cảng pja,xương cá,N,
Cảng chằm,xương dăm,N,
Cảng,càng,R,
Cảng cỏ,nói chuyện,V,
Cảng mjay,nói lái,V,
cảng pjẻ,nói ngược,V,
Cáng,cành,N,
Cáng mạy,cành cây,N,
Cáng,chi,P,
Cáng chà,cành dong,N,
Canh hấy,canh tác,V,
Canh hấy,cày cấy,V,
Cao,cao xương,N,
Cao slưa,cao hổ cốt,M,
Cao,lão,N,
Cao nấy,lão này,P,
Cao,chú,Nc,
Cao slưa,chú hổ,N,
Cao,tảng,M,
Cao hin,tảng đá,N,
Cao,thứ,N,
Cao lăng,thứ gì,P,
Cáo vá,khốn khổ,M,
Cảo,khoeo chân,N,
Cảo,máy ép,V,
Cảo,máy cán,N,
Cảo,cán,M,
Cảo,ép,V,
Cảo ỏi,ép mía,V,
Cảo phải,cán bông hạt,N,
Cảo,quấn chặt,V,
Cảo nảo,làm phiền,V,
Cảo phải,cán bông,N,
Cảo xảo,làm phiền,V,
Cáo,cạo,M,
Cáo quán,khó khăn,A,
Cáo quán,gay go,N,
Cáp,mo,M,
Cáp làng,mo cau,N,
Cáp,bẹ,M,
Cáp duốc,bẹ chuối,N,
Cáp,gặp,V,
Cáp,góp,V,
Cáp,ghép,V,
Cáp,tham gia,V,
Cáp bo,mo,M,
Cáp hẻn,con hến,N,
Cáp ngước,hàm ếch,N,
Cáp ngước,mang cá,V,
Cap,cái mè,N,
Cap cà,hàng mè,N,
Cạp kha,bẹn,M,
Cạp thây,bắp cày,V,
Cát,dây sắn,N,
Cát,củ đậu,V,
Cát,gạt,M,
Cát,tách,M,
Cat,chim dẻ cùi,N,
Cat,khản tiếng,N,
Cat,quá,R,
Càu càu,cầm cập,V,
Cáu,cũ,A,
Slửa Cáu,áo cũ,N,
Cáu ké,cũ kỹ,A,
Cáu ké,đời xưa,N,time
Cậu,con cú mèo,V,
Cay,kể ra,V,
Cay,áng chừng,N,
Cay bắp,mày ngô,P,
Cay nál,tính toán,V,
Cay nál,suy tính,M,
Cay sló,tính toán,V,
Cay sló,đáng kể,M,
Cay tố,có lẽ là,X,
Cày nhị,hạ tuần,V,time
Cày slíp,trung tuần,N,time
Cày xo,thượng tuần,N,time
Cáy,con gà,N,
Cáy khăn,gà gáy,N,
Nựa Cáy,thịt gà,N,
Cáy cạc,nòng nọc cóc,V,
CÁY ĐÔNG,gà rừng,N,
Cáy khướng,gà mái tơ,N,
Cáy mẹ,gà mái,N,
Cáy nà,chim cun cút,N,
Cáy nuồm,gà con,N,
Cáy phjây,gà ri,P,
Cáy phủ,gà trống choai,N,
Cáy sleng,gà trống,N,
Cáy tắc,gà nuôi riêng,T,
Cáy ton,gà thiến,N,
Cạy,vã ra,V,
Cắc kè,con tắc kè,M,
Căm,nắm,M,
Căm phjắc,nắm rau,V,
Căm,bó,M,
Căm,cầm,V,
Căm,để tang,E,
Căm,kiêng,M,
Căm đắp,đêm giao thừa,N,time
Căm kiêm,kiêng kỵ,N,
Căm lừ,tối ngày kia,N,time
Căm lương,tối hôm kìa,N,time
Căm mụn,tối hôm kia,N,time
Căm ngòa,tối hôm qua,N,time
Căm pjục,tối mai,N,time
Căm quền,nắm đấm,V,
Căm tẳng,nắm tay,V,
Căm tệnh,căm quền,N,
Cằm,câu,N,
Cằm ám,chuyện,N,place
Cằm xam,câu hỏi,V,
Căm,đêm,N,time
Căm nấy,tối nay,P,time
Tằng Căm,ban đêm,N,time
Căm dìn,tối hôm kia,N,time
Cẳm,dựng đứng,V,
Cẳm,không lẽ,R,
Cẳm cạ,chẳng lẽ là,V,
Cắm cạy,răng bừa,N,
Cẳm pảc,dế dũi,N,
Cắm,tím,A,
Cắm,thâm,M,
Cắm bức,tím bầm,A,
Cặm,chống,V,
Căn,nhau,N,
Pang Căn,giúp nhau,V,
Xày Căn,cùng nhau,N,
Cằn,bờ,N,
Cằn nà,bờ ruộng,N,place
Cằn,ngứa,M,
Bon Cằn,cây mon ngứa,N,
Cắn cắn,thoăn thoắt,A,
Cặn,bóp,M,
Cặn,nhào,M,
Cặn,nghịch,M,
Cặn đin,nghịch đất,N,
Cặn,"bằng, bấy",M,
Cặn,đến thế,E,
Cẳn cặn,nước cặn,N,
Căng,con vượn,N,
Cằng,cây gai găng,N,
Cắp,bẫy,N,
Cắp,máy ép,V,
Cắp,máy cán,N,
Cắp,ép,V,
Cắp,với,E,
Cắp,cùng,A,
Cắp kẻ,con cuốn chiếu,N,
Cắp kẻ,viêm tai,N,
Cắp náp,áp bức,V,
Cắp náp,đè nén,V,
Cặp,chật,A,
Rườn Cặp,nhà chật,N,place
Tàng Cặp,đường hẹp,N,place
Cặp,bắt,V,
Cặp kẹp,chật hẹp,M,
Cặp nhét,chật chội,M,
Cắt,cắt,V,
Cắt,cắn,V,
Cắt,nghiến răng,P,
Cắt,lạnh,A,
Nặm Cắt,nước lã,N,
Cắt xát,lạnh ngắt,M,
Cặt,chặt,A,
Cặt,nghẹn,M,
Cò Cặt,nghẹn ở cổ,E,
Cân,cân,M,
Cần,người,N,
Cần,người ta,P,
Cần khau,người rẻo cao,N,
Cần rườn,người nhà,N,
Cần tầư,người nào,P,
Cẩn,vội,A,
Cẩn pây,vội đi,V,
Cẩn,cần,V,
Cẩn cản,vội vàng,A,
Cẩn diếu,cần thiết,A,
Cẩn diếu,quan trọng,A,time
Câu,tao,P,
Câu mầu,tao mày,P,
Cầu,nuôi con nhỏ,V,
Cầu va,cầu tự,P,
Cấu,cầu,N,
Cẩu,chín,M,
Cẩu bươn,chín tháng,N,time
slíp Cẩu,mười chín,M,
Cẩu slíp,chín mươi,M,
Cầu ai,ai,P,
Câu,sưng,M,
Câu,trương,M,
Câu,ra vẻ,V,
Phuối Câu,nói ra vẻ,X,
Cây,ngăm ngăm đen,N,
Cầy,ghét bẩn,V,
Cầy kép,gầu,M,
Cẩy,thua,V,
Cậy,dựa vào,E,
Cha,cơ nghiệp,M,
Pai Cha,sạt nghiệp,M,
Cha ly,gia đình,N,
Cha xài,gia tài,M,
Chà,cành dong,N,
Chà,rấp,M,
Chà,ráp,M,
Chà nhác,rác rưởi,M,
Chà nhát,thô ráp,M,
Chả,mạ,M,
lồng Chả,gieo mạ,V,
Chả,giả,A,
Chả,tê cóng,A,
Chả,chết cứng,V,
Chả đát,cứng đờ,M,
Chả lần,sượng,M,
Chả lần,trơ,M,
Chả loóc,giả vờ,M,
Chá,giá,N,
Chá,mặc cả,T,
Chá,không chắc chắn,A,
Chá,hàng,N,
chá,giả,A,
Cúa chá,đồ giả,N,
Chá lác,dốc sụt lở,N,place
Chác,cây hồi,N,
Chác,hắc lào,N,
Chai,cái chai,N,
Chai lẩu,chai rượu,N,
Chai,nhịn,M,
Chai,chay,M,
Chin Chai,ăn chay,V,
Chai,già,A,
Chai lơ,làm ngơ,M,
Chai lơ,tảng lờ,N,
Chai nan,tai nạn,N,
Chài,trai,N,
Chài,nam giới,M,
Lục Chài,con trai,N,
Chài,anh,Nc,
Pi Chài,anh trai,N,
Chai nghỉ,nghỉ,V,
Chai chành,nghỉ ngơi,V,
Chải,hết sức,R,
ái Chải,gần quá sức,M,
Chái,cái cưa,T,
Chái,ngược lại,X,
Chại,chiều tà,N,time
Pài Chại,chiều tà,N,time
Chại,nghiêng,M,
Cham,giam,V,
Cham,cầm giữ,V,
Cham,châm,M,
Cham phầy,châm lửa,V,
Cham chái,qua loa,V,
Slửa Chàm,áo chàm,N,
Chám,chiếm giữ,V,
Chan,gian,N,
Chin Chan,ăn gian,V,
Chan,ăn vạ,M,
Hảy Chan,khóc ăn vạ,V,
Chan,vu khống,N,
Phuối Chan,nói dối,V,
Chan,chan,M,
Chan chan,bát ngát,M,
Chan chảo,gian giảo,N,
Chàn,giàn,M,
Chàn buốp,giàn mướp,N,
Chàn,bò,N,
chạn,đĩa,N,
Chản,chườm,M,
Chản,chói,M,
Chán,quá,R,
Chạn,lười,M,
Cần Chạn,người lười,N,
Chạn pây,lười đi,V,
Chạn mjạt,uể oải,N,
Chạn mjạt,lười nhác,M,
Chang,nửa,N,
Boóc chang,ống rưỡi,N,
Chang nâng,nửa ống,N,
Chang,giữa,E,
Vang Chang,gian giữa,E,
Chang,trong,E,
Chang chắp,sửa soạn,V,
Chang chỉnh,sửa sang,M,
Chang cừn,nửa đêm,N,time
Chang hả,lưng trời,N,
Chang nâu,giữa buổi sáng,N,time
Chang vằn,giữa ban chiều,N,time
Chàng,lạng,M,
Chàng,rên,M,
chang,thợ,N,
Po chang,người thợ,N,
chang,người tài giỏi,A,
da chang,thầy thuốc,N,time
chang lếch,thợ rèn,V,
chang mạy,thợ mộc,N,
Chảng,cánh,N,
Chảng nả,cánh nỏ,N,
Chảng,cần,V,
Chảng cắp,cần bẫy,V,
Cháng,xoạc,M,
Chạng,voi,N,
Tua Chạng,con voi,N,
Chạng,to,A,
ỏi Chạng,mía to,N,
Chạng giạng,giạng chân,N,
cháng,dân tộc Choang,Np,
Cần cháng,người Choang,Np,
cháng,nói dối,V,
chao,chạc cây,N,
chao,giao,V,
Chao kiết,giao kết,V,
Chào,cái máng nước,N,place
Chào,tanh,M,
Pja Chào,cá tanh,N,
chảo,cháo,N,
Chảo,đổi,V,
Chảo mao,chim chào mào,N,
Chao,gây dựng,V,
Tặt Chao,gây dựng nên,C,
Chao,sáng tác,M,
Chao,khai khẩn,V,
Chao,dìu dắt,V,
Cháo,cái chảo,N,
Cháo,rán,M,
Cháo,luyện,V,
Cháo chượng,nuôi dạy,V,
Cháp,gang tay,V,
Cháp,bám,V,
Cháp mạ,ra sức,V,
Chắp che,phoi bào,N,
Chap,xác,N,
Chap,áo giáp,N,
Chap,gần giống,M,
Chap,lẫn,C,
Chap,lai,M,
Chap,giáp,M,
Chap,"hơi, gần",CH,
Chap lao,hơi sợ,V,
Chap,nửa muốn,V,
Chạp chạ,lẫn lộn,M,
Chạp chủng,hổ lốn,N,
Chát chát,chan chát,M,
Chat,cái hiên,T,
Chat,hố chông,N,
Chat,trượt,M,
Chat kha,trượt chân,V,
Chat,tráng,M,
Chàu,giàu,A,
Chàu mì,giàu có,A,
chau,con chão chuộc,V,
Chảu,búi tóc,V,
Cháu,cây trẩu,N,
Cháu,cứu,V,
Cháu căn,cứu nhau,V,
Cháu choi,chữa chạy,V,
Cháu choi,giúp đỡ,V,
Chạu,sớm,A,time
Nâu Chạu,sáng sớm,N,time
Tứn Chạu,dậy sớm,V,
Thai Chạu,chết sớm,V,
Chạu chít,sớm tinh,M,
Chạu nâu,buổi sớm,N,time
Chạu nhám,sớm sủa,M,
Chạu nhém,sáng tinh mơ,N,time
Chạu sloai,sớm trưa,N,time
chay,trồng,V,
Chay mác,chủng đậu,V,
Chảy,ống bơ,N,
Cháy,tế,M,
Chạy,gì cả,T,
Chắc,biết,V,
Chắc,sắc,M,
Chắc da,sắc thuốc,N,
Chắc,băm,M,
Chắc căn,nhận ra nhau,V,
Chắc mưa,thức giấc,M,
Chặc,cương ngựa,N,
Chặc,chấn song,N,
Chặc chạy,cặn kẽ,N,
Chăm,tẻ,M,
Khẩu Chăm,gạo tẻ,N,
Chăm,cái vó,T,
Dò Chăm,cất vó,V,
Chằm,lầy,M,
Nà Chằm,ruộng lầy,N,
Chằm,khâu dày,N,
Chẳm,chấm,V,
Nặm Chẳm,nước chấm,V,
Chẳm,ăn với,E,
Chẳm,chạm,M,
Chẳm,đóng dấu,M,
Chẳm chỉ,lắm mồm,N,
Chẳm đẩn,gáy,M,
Chắm,dìm,M,
Chắm nặm,dìm xuống nước,V,
Chắm,ngâm,V,
chắm,cầm,V,
chắm lượt,cầm máu,V,
Chắm cất,giấu,V,
Chắm cháy,lốm đốm,N,
Chắm ché,cẩm,M,
Chắm dăm,chìm đắm,V,
Chăn,thật,T,
Phuối Chăn,nói thật,T,
Chăn,rất,R,
Chăn mjạc,rất đẹp,A,
Chăn trận,một trận,N,
Chăn slim,thật lòng,T,
Chẳn,nhịn,M,
Chẳn dác,nhịn đói,V,
Chẳn,nhẫn nhịn,V,
Chẳn,nín,M,
Chẳn châu,nín thở,V,
Chẳn,nén,M,
Chẳn sính,nén giận,V,
Chẳn slim,nén lòng,V,
Chẳn xình,tận tình,A,
Chắn,"chặn, trấn giữ",CH,
Chắn tàng,chặn đường,V,
Chặn,viêm mắt cá,N,
Chăng,thòng lọng,N,
Chằng,lườm,M,
Chằng chằng,ầm ầm,M,
Chăng,cái cân,N,
Chăng,cân,M,
Chăng nam,cân ta,P,
Chẳng,lặng,M,
Chẳng,lắng,M,
Chẳng pjam,nhạt phèo,N,
Chẳng tứ,thừ,M,
