tay,viet
áo khươi Bươn Ngòa,chú tháng trước
áp slâu rườn,tắm cột nhà
Lục slao pây nặm tang pây áp,Nữ thanh niên đi gánh nước nhân tiện đi tắm
Rườn mì ăm pha,Nhà giàu chập đôi
cáy phặc ăm pha Dắp,"gà mái ấp tranh giành ổ nhau lúc, chốc lát"
Ám tỉ ắm,Chỗ ấy chen
nòn ắm căn Chực ngài,ngủ chen nhau đợi bữa trưa
ằm Rung,mẹ sáng
Cằn nà ăn cuôi,Bờ ruộng cái sọt
Roong ăn rườn,Suối cái nhà
Phài sloong ăn mác pục,"Bãi, đám hai quả bưởi"
Pi tỉ ăn đây,Năm tí điều tốt
Tẩng vằn ăn rại,Ban ngày điều xấu
ăn tỉ te chắc dá rườn tô,điều đó nó đã biết rồi nhà trọ
ăn vằn Rườn lang,hằng ngày nhà cửa
Lung ăn bườn,Thung lũng hằng tháng
ăn pày kha ta,thường khi dòng sông
pù pài ăng ắc đin chỏ,núi đồi trùng điệp đất tổ
Mọi tị tông nà ăng ắc,Khắp nơi cánh đồng bạt ngàn
pù khau ăng ắc bjoóc bâư Hang bươn,núi rừng bạt ngàn hoa lá cuối tháng
Búng nà nặm ăng ắc,Nơi cánh đồng nước đầy ăm ắp
Búng fạ Nặm lìn ắn,Vùng trời nước máng bí
Mả Oóc ắn,Chồng đầu óc không sáng suốt
Hạn Nặm ắng thâng tẩư lang,Hạn nước ứ đến gầm sàn
slính ắng khửn cò pạng tây,cơn tức dâng lên tận cổ phương tây
ẩm pjoong pi,cái ấm nửa năm
ẩm nặm chè Chiêng,ấm nước chè giêng
Mẳn Chếp ấc,"Nãy, lúc nãy đau ngực"
Lung lầu đảy păn ám ấc,Thung lũng được chia phần tốt
Đin nhả ấn ngòi lẹo kỉ lai chèn,Quê hương ước lượng xem hết bao nhiêu tiền
Nặm noòng ấn bấu quá ta đẩy Khay tàng,nước lũ to liệu chừng không qua được mở đường
ấn te pây thâng dá Háng xạ,tính ra nó đã đến nơi rồi hàng xã
ấu Lung lầu,ninh thung lũng
ấu Kỉ xì,hầm ít khi
ấu hẩư tư Boỏng tơi,ninh cho nhừ chặng đường đời
Ba Tàng nặm,bè ra đường thủy
Xu ba ảng,tai bè ra cổng
Ba minh Ti rườn,cái xà beng nền nhà
Nả đán Au ba minh tào hin,Vách đá dùng xà beng đào đá
Lông tàng ma bả,Lạc đường chó dại
phuối bả Khảm Hải,"nói dại, nói dở vượt biển"
Đông roang Bả thai,Rừng thưa giãy chết
Rườn nấy Bả fạc fạc,Nhà này giãy đành đạch
Bả mừa dương mé Vằn sleng,vội về thăm bà ngày sinh
Bả biếng vằn xuân,vội vàng ngày xuân
Bả biếng Tông chí,hấp tấp đông chí
Chập ngù Bả biếng ni Khảm cấu,gặp rắn hấp tấp chạy qua cầu
Chang vằn Bả mu,Giữa ban chiều động kinh
Pền bả mu Đông căm,bị bệnh động kinh rừng kiêng
Bả mướng phắng ta,dở hơi bờ sông
Mùa đảng cần Bả mướng,Mùa rét người dở hơi
Đét ón Bả slâư,Nắng ban mai dại dột
Pác tu Cần bả Bả slâư,Giữa cửa người dại dột
Nhọt pù Bá bảy,Đỉnh núi rối bời
Mốc slẩy Bá bảy Pi quá,bụng dạ rối bời năm ngoái
Nạp tể Bạ,Suốt đời bã
Hạn chin nặm cài Bạ,Hạn ăn nước nhả bã
Tuống nặm Bảc,Vũng nước bác
Mjề mả po bảc,Vợ chồng ông bác
Bảc pả mì lèng chầy lá Kỉ xì,bác bá khoẻ thôi chứ ít khi
Bạch ngạch Chin pjầu,lếu láo ăn bữa tối
Chin phuối Bạch ngạch Luây loác,ăn nói lếu láo nhễ nhại
Bai Ngoay,cuốc bướm quay lại
Đin ti Au Bai bjai nhả,Quê hương dùng cuốc bướm cào cỏ
Boỏng tàng Bai,Đoạn đường cái muôi
Oóc Bai nặm keng,Sang tháng muôi nước canh
Bai nòn sloai,trộn ngủ trưa
Pưa đía Khẩu nua Bai thúa,Thuở xưa xôi trộn đỗ
Đông pá Slon Bài,Rừng già học bài
Bài lượn tức tàng,bài lượn làm đường
Bài nhài xo hả,kể lể mồng năm
Bài nhài lai tuyện Rung đây,kể lể lắm chuyện sáng rõ
Rườn côn Bải,Nhà sụp đổ nhai
Cẩu bươn Vài Bải nhả,Chín tháng trâu nhai cỏ
Ngoạc mà Bải,Quay lại vát
Mau on Bải pác bằng,Mùa nóng vát miệng ống nước
Rung roàng Bại,Sáng sủa những
Bại co khẩu Chua tàng,những cây lúa đoạn đường
Bại cần pây tông Luây loác,những người đi làm đồng nhễ nhại
Bam Tẳng rườn,chỗ lõm dựng nhà
Đông rộc Lâu nà mì lai búng Bam,Rừng rậm thửa ruộng có nhiều chỗ lõm
Xá Ban,Gác bếp nở nang
Slao Ban Fan,cô gái nở nang quay lại
Ban Rườn Mì,đầy đặn nhà giàu
Ban búm Mụn,đẫy đà hôm kìa
Tua đếch ngòi Ban búm vằn nhin,đứa trẻ trông đẫy đà hôm kia
Bàn nhái Tàng,bàn lùi đường
Bươn pả Bàn nhái nắm đảy pền fiếc,Hơn một tháng bàn lùi việc không thành
Bản Thu,làng mùa thu
Bản mì lai rườn Chin Chiêng,bản có nhiều nhà ăn tết
Cổn Bản con,Đáy làng xóm
Đông Fiệc Bản con,Phương đông việc làng xóm
Chạu nhém Bán,Sáng tinh mơ sót
Xạ Ton Bán,Xã thiến sót
Bang ăn bườn,mỏng hằng tháng
Slửa Bang pác ta,áo mỏng cửa sông
Bang Lung lầu,thưa thung lũng
Doòng ỏi Bang Bảt,khóm mía thưa lúc
Buốc Bang,Đầm lầy hiếm
Lạp chạp Rườn lục Bang,Tháng chạp nhà hiếm con
Bang Cáu ké,yếu đời xưa
Boỏng tàng Mốc Bang,Đoạn đường dạ yếu
Bang Mự nấy,xấu hổ hôm nay
nả Bang pài rườn,hay xấu hổ mái nhà
Bang bính rườn Roang,mỏng tanh nhà trống
Piếng phà Bang bính Phja Lớ,tấm chăn mỏng tanh núi lở
Nâư pjục Bang bít,Sáng mai mỏng dính
Vằn pjuc Bang bjém,Ngày mai mỏng mảnh
Nung slửa Bang bjém rung Đây,mặc áo mỏng mảnh sáng hẳn
Báng Khau,con mèo bay núi rừng
Rườn côn Pây pện Báng bên,Nhà sụp đổ đi như mèo bay
Khửn lính Hảy pện Báng,Lên dốc khóc như mèo bay kêu
Báng tin đuây,con sóc bay chân cầu thang
Báng Cùn Lậc,bạnh đêm khuya
Mự nấy Báng mạy chủ,Hôm nay bạnh cây sấu
Dắp Báng,"Lúc, chốc lát hốc cây"
Chin ngài Mạy non lòn pền Báng,Ăn bữa trưa cây bị sâu cắn thành hốc
Bảnh Nâư lừ,bánh xe sáng ngày kia
Bảnh xe mạ Kiểng,bánh xe ngựa hồ
Pi Bao,Năm cây dọc
Sloai Mác Bao,Trưa quả dọc
Dầu mác Bao Dìn,dầu dọc hôm kia
Lục Báo Lạp lạ,con trai mờ sáng
Đây Báo Vằn Nấy,xinh trai hôm nay
Tàng pây Báo đông,Đường đi đười ươi
Báo đông cót bằng Bưởng lăng,đười ươi giữ ống đằng sau
Báo léo Nưa pù,nam thiếu niên trên núi
Hò tỉ pền Báo léo dá Pụt Chua,thằng kia sắp thành thanh niên rồi phật chùa
Bát phắng nặm,nhọt bến nước
Chỉnh nặm Pền Bát,Giếng nước lên nhọt
Bát slúc noong Que,nhọt mưng mủ nơi ở
Bát búng,cây nơi
Mác Bát bưa pja tói tu,quả thàn mát duốc cá gõ cửa
Bảt Ca rạc,lúc váng nước
Bảt khửn Bảt lồng Bản,lúc lên lúc xuống làng
Tàng Bát đíp,Đường nhọt thường
Hang bươn Khửn Bát đíp,Cuối tháng lên nhọt
Bảt tầu Bảt nẩy,Đằng nào thế này
Bảt nẩy nhẻn a Rườn Mắn,thế này thì xấu hổ lắm nhà vững chắc
Cằn nà Bảt nẩy,Bờ ruộng bây giờ
Đin ti Bảt nẩy bấu tị dú,Quê hương bây giờ không chỗ ở
Rung Bảt tầu,Quang đằng nào
Bảt tầu tố tồng căn Bươn chiêng,đằng nào cũng thế tháng giêng
Nặm mường Bảt toọc,Quê hương ra trò
Căm dìn Phuối đây Bảt toọc,Tối hôm kia nói hay ra phết
Nòn sloai Bảt toọc,Ngủ trưa một lèo
Chin Bảt toọc Rườn hé,ăn một lèo cho hết chái nhà
Đuây Bau,Cái thang bị phù
Ti rườn Cần pền Bau,Nền nhà người bị phù
Tàng đút Bau,Đường cụt nghịch ngợm
Duốc Đếch Bau lai,Chuối rừng trẻ con nghịch quá
Run Hò nấy Bau,Chồi thằng này nghịch ngợm
Mà rườn Bắc,Về nhà phương bắc
Vằn lừ Rườn vín qua bưởng Bắc,Ngày kia nhà quay về hướng bắc
Tàng nặm Bắc,Đường thủy cái vợt
Bắc xỏn pja thin phon,vợt xúc cá núi đá vôi
Bắc Tàng luông,mảnh đường cái
Lung lầu Bắc nà cằn loong,Thung lũng mảnh ruộng bên suối
Bắc Vằn chiêng,nhăn Ngày tết
Cò mì Bắc slíp pi,cổ có nếp nhăn mười năm
Ngoạc Nả Bắc,"Ngoảnh, quay lại mếu"
Rườn rua Bắc,Nhà dột cấu
Tò Bắc căn Nhi,cấu nhau hạ tuần
Bó nặm Bắc,Giếng nước bấm
Bắc Khảm Hải,vồ vượt biển
Nhọi nhọi Slưa Bắc,Đến nơi hổ vồ
Pjầu Băc bắm,Cơm tối chì chiết
Pây háng Băc bắm,Đi chợ nhiều lời
Đin nặm Bấu đảy Băc bắm lăng lai a,Đất nước đừng có nhiều lời làm gì nữa
Ả tu Bắc bử,Mở cửa lúng búng
Phuối Bắc bử Bươn chiêng,nói lúng búng tháng giêng
Bắc ngắng Ca,mếu máo sân
Chin ngài Te pây kha men toỏng đút,Ăn bữa trưa nả Bắc ngắng
Tàng năn Bắc ten tứng cần,Đường thẳng chỉ đích danh từng người
Nâư mụn Bẳm,Sáng hôm kìa mắm
Pja Bẳm Mụn,cá mắm hôm kìa
Kềm bặng Bẳm Tàng Mjạc,mặn như mắm đường trơn
Bẳn nòn sloai,ném ngủ trưa
Ngào Bẳn hin,Khuấy đều ném đá
Bẳn pan,bắn đi tha phương
Bẳn nả Cổn,bắn ná đáy
Cừa nam Băng,Bụi gai băng
Chắc cạ mé pền khẩy Hải,lan Băng mà dương biển
Băng quá kéo Phấc,băng qua đèo vực
Tằng vằn Băng bại,Ban ngày vội vàng
Bẳng chính chang,cái chính giữa
Mì pày Sloong Bẳng pè khảm ta,Có khi hai cái bè sang sông
Bẳng fùm Chạu,cái go cửi sớm
Xỏ tu Bẳng,Xó cửa ống đựng nước
Sloong Bẳng nặm Bưởng xảng,hai ống nước bên cạnh
Ti hâu Ay khảu Bẳng,Nơi nào ho vào ống
Bươn pjoong Bặng,Tháng rưỡi như
Tu Bặng cạ pi noọng khen kha,Cửa như anh em ruột thịt
Mùa khẩu Bắp,Lúa vụ mùa ngô
Bưa Bắp Vằn lăng,bột ngô hôm sau
Tin pha Sluôn Bắp,Chân vách vườn ngô
Cằn nà Bặp,Bờ ruộng nước
Chin Bặp Ngám khuốp,uống nước Một năm tuổi
Bắt Rườn Cặp,ngạt nhà chật
Ngạn rạ Bắt châu,Rừng đại ngàn ngạt thở
Bắt thém rườn,đắt thềm nhà
Da chang Khai Bắt,Thầy thuốc bán đắt
Bắt Chướng đông,quý giữ rừng
Rung của Bắt của pèng,Quang của quý của hiếm
Vằn ngoà Bắt cất,Hôm qua chưng cất
Bắt cất mỏ lẩu Rườn,cất nồi rượu nhà
Bắt pèng Rườn hé,yêu quý chái nhà
Noọng Bắt pèng pi mấu,em yêu quý năm mới
Bầu thém rườn,cây thềm nhà
Khảm hải Năm Bầu bươn cẩu,Vượt biển trồng bầu tháng chín
Bẩu Nhọt pù,đầu đỉnh núi
Lam Bẩu khảu Làm,trói đầu vào mất thì giờ
Khoảng rườn Dú tềnh Bẩu,Vướng nhà ở trên đầu
Khắm tàng Bấu,Hỏi đường không
Bấu chắc Đin nặm,không biết đất nước
Hết Bấu đảy búng hâu,làm không được nơi nào
Tón ngài Chắc Bấu,Bữa trưa biết không
Pjầu Bấu,Bữa tối chẳng
Bấu Quảng xoác,chả quang đãng
Bấu dăm Bấu bjai dai hom lưng Rung choảng,chẳng cấy chẳng làm cỏ hơi thơm phức sáng choang
Bấu đông rộc,đừng rừng rậm
Oóc Bấu,Sang tháng chớ
Bấu pây pan háng,chớ có đi phiên chợ
Rườn slắm Bấu cảng lăng mòn ló,Nhà bẩn đừng nói gì nữa
Bấu făn slì dên,không chấp nhận mùa rét
Mự Hết pện nẩy ngo Bấu făn,Hôm làm như thế tôi không chấp nhận
Pú Bấu mì dá Rườn hàng,ông mất rồi cửa hàng
Bấu xay Căm Mụn,chớ đừng tối hôm kìa
Pài chại Bấu xay hết,Chiều tà chớ có làm
Khuốp pi Bấu xay pin mạy,Suốt năm chớ có trèo cây
Nâư nấy Bâu,Sáng nay lá
Bâu Nả nưa,tờ phía trên
Kỉ hò Bâu chỉa,Mấy khi tờ giấy
Mà rườn Bâu,Về nhà bức
Slì Bâu slư,Lúc bức thư
Fan Bâu,Quay lại tấm
Bâu slửa Mường,tấm áo khu vực
Bâu Tàng tẳng,cái đường dọc
Bâu khoá Tàng Luông,cái quần đường lớn
Bâư khẻ tung gia,tờ văn khế trong nhà
Lẹo hạn Bẩu,Hết hạn rạo
Đuây Bẩu pja,Cái thang rạo bắt cá
Rườn phú Bẩu,Nhà đất buồn
Tuống nặm Bẩu nòn,Vũng nước buồn ngủ
Vằn nấy Bẩu,Hôm nay khờ khạo
Pác ta cần Bẩu,Cửa sông người khờ khạo
Bẩu Rườn ngoạ,chưa khô hẳn nhà ngói
Pi mấu Be,Năm mới xoè
Be pic Cừn nẩy,xoè cánh Đêm nay
Thém rườn Be,Thềm nhà phình
Fan Toọng Be,Quay lại bụng phình
Be Căm dìn,bạnh ra tối hôm kia
Khửn rườn Cần pác Be,Lên nhà người mồm bạnh ra
Căm dìn Be,Đêm hôm kia nằm ượt
Be Chạu,banh sớm
Noọc tông Be nòn quá nâư,Ngoài đồng banh ra ngủ cả buổi sáng
Nặm bó bè bẹo,Giếng nước chê bai
bẻ dê thỏi nà,dê hàng lúa
Ti hâu béc,Nơi nào vác
Mọi rườn pang béc fừn nâng Fan hua,mỗi nhà giúp một vác củi quay đầu
Lan béc hẩu pú Queng tàng,cháu vác hộ ông đường vòng
Ti rườn béc kha cải,Thổ cư vác chân to
Đăm tha béc kha cải,Tối mắt nịnh hót
Pác tàng béc coóc,Đầu đường vác mặt
Ngoay Béc coóc pây liệu,Quay lại vác mặt đi chơi
Ben Dìn,cơi trầu hôm kia
Ben Ngám khuốp,gói Một năm tuổi
Khau khuổi Ben khẩu nâng,Vùng núi một gói cơm
Ben da Nâư lừ,gói thuốc sáng ngày kia
Rườn roang Ben đảy pác khêm bấu Ben đảy pác cần,Nhà trống gói được mũi kim
Căm ngòa Ben boóc,Tối hôm qua gói ghém
Inh bén,Ưng thuận cái mê
Pằm mằn oóc bén Pi Ngọ,băm sắn ra cái mê năm ngọ
Cằm ám bẻo,Chuyện béo
Cáy bẻo mì lai pì Cọ,gà béo có nhiều mỡ khu
Ton tàng bẻo bựt,Nửa đường béo múp
Cừn bẻo bựt,"Đêm, đêm khuya béo ị"
Ta Pú ké bẻo bựt,Sông ông già béo ị
Ngườm hin bèo,Hang đá bèo cái
Lặp la Bên,Tang tảng sáng bay
Hạn Nộc Bên khảu đông,Hạn chim bay về rừng
Pjầu Lồm Bên bâu slửa,Cơm tối gió thổi bay cái áo
Rườn kích Bên báng,Nhà gạch chạy vội
Ti phuông Bếnh,Địa phương rặn
Bết Vằn slinh,câu ngày sinh
Pụt chua Pác Bết,Phật chùa lưỡi câu
Tức Bết pja Nà,câu cá khu vực
Que Bi bốc,Quê xương sông
Bì Rườn Ngọa,so kè nhà ngói
Tò Bì căn Tằng vằn,so kè nhau ban ngày
bỉ Dú tỉ,con bướm ở chỗ ấy
bỉ bươn slam Bươn chiêng,bướm tháng ba tháng giêng
bỉ bản ứn,con ngài bản khác
bỉ mọn Đông,con ngài tằm rừng
Tẳng rườn slắn bặng bỉ phủ,Dựng nhà run như con ngài đực
bỉ Mự,bí ngày
Cừn rì bỉ xu khêm,Đêm dài bí trôn kim
Đăm cum bỉ,Tối mù ngạt
Bươn nhi Đăng bỉ,Tháng hai ngạt mũi
Nâư bí,Buổi sáng bóc
Tằng vằn bí bắp,Ban ngày bóc ngô
bí Nặm ti,vạch đất nước
Pi nả bí pha mo,Sang năm vạch liếp nhòm
bí Pha táng,mở cánh cửa sổ
Căm bí slí căm lắp Chang tàng,một đêm mở mắt Giữa đường
bí nhác rườn tầu,bửa toác nhà nào
Hải Ròi phéc bí nhác,Biển vết nứt bửa toác ra
bíp bjáp thẳm,"răng rắc hang, động"
Vằn lẩu Mạy tắc bíp bjáp,Ngày cưới cây gẫy răng rắc
Mường bít,Khu vực gianh nứa
Lạc tàng Tắp bít mùng rườn,Nhầm đường đánh gianh lợp nhà
bít rườn Tầư,ngắt nhà nào
Nặm mường bít nhỏt phjắc bủng,Xứ sở ngắt ngọn rau muống
bít pjuc lừ,cấu mai sau
bít Slảnh,nhặt phố xá
bít phjắc hết ngài Nặm xăng,nhặt rau làm bữa trưa ao tù
Bản con bỉu,Làng xóm quằn
pjạ bỉu Tát,dao bị quằn thác nước
Khảm kéo bỉu,Vượt đèo méo
Nghé chúp bỉu Nghé đuay,chiếc nón bị méo Cái cầu thang
Pan háng bỉu,Phiên chợ mẻ
Vằn nẩy Pát bỉu,Hôm nay bát mẻ
bỉu boót Thư,sứt mẻ đông
bỉu bương Nâư,méo mó ngày
Phua mả bỉu bương,Vợ chồng vênh váo
Ti fuông bjai,Địa phương giãy cỏ
bjai rây ả tu,giãy cỏ rẫy mở cửa
Vằn kị bjai nà,Ngày kiêng kị làm cỏ lúa
Pjầu Bjải,Bữa tối nát
Nả tẩu Bjải bjác,Phía dưới nát bét
Tị fuông Bjải bjéT,Địa phương nát
Bjải bjéT Căm Dìn,nhão nhoét đêm hôm kia
Rườn kích Bjải lát,Nhà gạch nát toét
Rung chưởn Pẻng chuầy vjếc Bjải lát,Sáng lóa bánh dầy nhão nát toét
Bjào bjào Bươn nhuận,rào rào tháng nhuận
Đin ti Bjào bjào,Quê hương ầm ầm
Phuối tuyện Bjào bjào Noọc tông,nói chuyện ầm ầm ngoài đồng
Bjáp bjáp Mau đảng,răng rắc mùa rét
Pi quỉ Mạy tắc Bjáp bjáp,Năm quý cây gẫy răng rắc
Bjắc Rườn hé,"chửi, chửi bới chái nhà"
Bjắc lục lan Khóp tu,chửi con cháu ngưỡng cửa
Tò thư tò Bjắc căn tức tàng,chửi bới nhau làm đường
Cùn lậc Bjắc bjoi,Đêm khuya chửi bới
Da ké Bjắc bjoi cần hết lặc Tàng nặm,bà già chửi bới kẻ ăn trộm đường thủy
Bó nặm Bjằng bjằng,Giếng nước rầm rầm
Slủng féc Bjằng bjằng ám tỉ,súng nổ rầm rầm chỗ ấy
Bjằng bjằng Chin pjầu,ròn rã ăn bữa tối
Chang rườn phuối khua Bjằng bjằng Ngoạc,"trong nhà nói cười ròn rã ngoảnh, quay lại"
Bảt tầu Bjắt,Đằng nào uốn
Khuổi bốc Bjắt cái tậu vai,Khe cạn uốn cây gậy mây song
Bjắt tàng hẩu năn Vằn Nâng,nắn đường cho thẳng một ngày
biép bjép Tẩu cai,"lép bép gầm nhà, sân"
Bjể Rung xoác,bóc quang đãng
Tàng luông Bjể oóc ngòi,Đường cái bóc ra xem
Bjể Bó bủn,vạch ra nguồn nước phun
Tung gia Bjể,Trong nhà tách ra
Bươn lạp Bjể từng lúp,Tháng chạp tách ra từng lớp
Ngọac teo Bjể nặm khảu lứp toong,Quay lại tách từng lớp lá cho nước chảy vào trong
Ăn bườn Bjoóc,Hằng tháng hoa
Bjoóc mạ phông nả đán rung lường Pụt Chua,hoa mạ nở trên vách núi rực rỡ phật chùa
Căm nấy Bjoóc coi,Tối nay hoa hồng
Bjoóc ngậu Kiểng phải,hoa sen hồ vải
Nhọi nhọi bjoi,"Đến nơi ống, giỏ đánh lươn"
Bjốp bjốp Chổn,"đôm đốp chốn, nơi"
Mạy tắc Bjốp bjốp Búng slung,cây gãy đôm đốp vùng cao
Thu bjúc,Mùa thu rúc đầu
Tằng nâư Vài bjúc lị khảu sluôn,Buổi sáng trâu rúc bờ rào vào vườn
Bjùng bjùng Nhi,sùng sục hạ tuần
Vằn chiêng Cháo nặm thương phật Bjùng bjùng,Ngày tết chảo mật sôi sùng sục
Bjùng bjùng Hạn sló,nhung nhúc hạn độ
bo Tẩư cai,mo dưới hiên nhà
Chin nèn bo máy,Ăn tết mo măng
Nặm mường bo làng,Đất nước mo cau
Bó Pjầu,nguồn nước Cơm tối
Rung Bó bủn,Sáng nguồn nước phun
Bó Noọc tông,mỏ ngoài đồng
Bó Fam toọng,giếng vùng bụng
Bó Bó nặm,Giếng giếng nước
bỏ Tàng lêch,bó đường sắt
bỏ thú Đăm mọm,bó đũa tối mịt
Que Boóc khẩu lam,Nơi ở ống cơm lam
Tuống nặm Boóc thúa kheo,Vũng nước ống đỗ xanh
Boóc cân Vằn nẩy,ống đong gạo hôm nay
bom đếch pin mạy đông rộc,khích trẻ trèo cây rừng rậm
bom cần tò phất Cằm ám,cổ vũ người khác vật nhau chuyện
Bỏm bò Vằn Slinh,ống bơ dùng làm dụng cụ đong gạo ngày sinh
đảng chin bon on chin phước Đăm thí,"rét ăn mon, ấm ăn khoai sọ tối mịt"
bon phước hom Tàng sloóc,Dọc khoai sọ hương đường lối
Lum bỏn,Hủm nước xoi mói
Boong te tò bỏn căn Rườn lạn,chúng nó xoi mói nhau rườn chạn
Nồng Bón,Trung quốc rau ngót rừng
Bón Mự,khoét ngày
Bón khảu căn Mà pjót,khoét vào bờ về đến nơi
Bón Lặp xuân,chen vào trong đón xuân
Cày slíp Năng Bón khảu chang,Trung tuần ngồi chen vào giữa
Háng Bón,Chợ rúc
Bón Pi tỉ,mót năm tí
au mằn Bón lám Căm,mót khoai còn sót đêm
Mụn Bọng,Hôm kìa bỏng
Men phầy Bọng Cương rườn,bị lửa bỏng khung nhà
Boong Nà lẹng,lòng ruộng bị hạn
Pi nẩy Boong xay,Năm nay lòng cối xay
Rung xoác Boong,Quang đãng chúng
Buốc Boong hây,Đầm lầy chúng ta
Boong rọi vài,người ta lối trâu đi
Oóc háng Boong khua,Họp chợ người ta cười
Boỏng Càm tàng,gióng đi đường
Boỏng ngọt khau,đoạn đỉnh núi
Vằn nhin Boỏng,Hôm kia chặng
Boỏng tơi Lung,chặng đường đời thung lũng
Boỏng pjạ Rườn tốm,chuôi dao nhà đổ
Háng Boóng,Chợ đục
Roong Boóng pjot,Suối khoét cho thủng
Mọi tị Boóng,Khắp nơi xâu
Boóng khêm Tằng Cừn,xâu kim ban đêm
Boóng Slì,lúm mùa
Kẻm Boóng pi hợi,má lúm đồng tiền năm Hợi
Boóng Vằn nâư,"khều, nhể Trời vừa sáng"
Boóng nam Cạm,khều gai cửa ngõ
Kha tàng bóp,Ngả đường bừa vỡ
bóp nà Coong ảng,bừa ruộng sân nhà
Đoảng bỏp,Quang đãng bóp
bỏp cưa Chào,bóp muối cái máng nước
Ngào bỏp cò thai,Khuấy đều bóp cổ chết
Nèn bỏp,Tết thắt
bỏp pác cuôi Cùn Lậc,thắt miệng sọt đêm khuya
bót khuốp,mù năm
Tha bót Rườn pjấu,mắt mù nhà trống
Hối bót,Lúc lép
Nghé bắp mì lọi mặt bót Lẹo Hạn,cái ngô có một số hạt lép hết hạn
Lông tàng Bồ,Lạc đường cái bồ
Bồ khẩu coóc Nấy,bồ thóc nay
Bốc phắng nặm,cạn bến nước
Khuổi Bốc Cai,khe cạn phố xá
Đăm Bốc nhác,Tối cạn nhăn
Nà Bốc nhác Tàng bốc,ruộng cạn nhăn đường bộ
Dắp Bổi,"Lúc, chốc lát hậu bối, nhọt ở lưng"
Rườn roang Bôm khẩu cẩu cần,Nhà trống mâm cơm chín người ăn
Quảng thếnh Tọn Bôm,Rộng thênh thang dọn mâm
Cáy tốc Bôm khẩu slan Rườn Slẳm,gà rơi vào mâm gạo nhà bẩn
Bôm chè Sloóc nặm,khay chè bến nước
Tàng cặp Bôm toòng,Đường hẹp mâm đồng
Mùa Bồm bồm,"Mùa, vụ ầm ầm"
Mùa Nặm tốc tat Bồm bồm,"Mùa, vụ nước rơi xuống thác ầm ầm"
Bồm bồm ăn bườn,đùng đùng hằng tháng
Oóc háng slủng phéc Bồm bồm,Họp chợ súng nổ đùng đùng
Bốm coong,xào sân
Mảy pàu xào Bốm Cai,măng vầu xào cho thêm nước phố xá
Bôn Tàng Luông,trời đường lớn
Bôn khả fạ khiếc lang,trời giết trời chém sân
Hẹn Bông,Thời hạn bù xù
Hua Bông Phắng,"chảu nhoại bờ, bến nước"
Bông Cừn,tơi đêm
thúa kheo khủa Bông Rườn đếch,đỗ xanh nấu chín rồi rang tơi nhà trẻ
Pây háng Bông,Đi chợ nở
Que Cáy khôn Bông,Quê gà lông nở
Bông Hát ta,phồng ghềnh sông
Tàng lêch Khẩu sluy Bông,Đường sắt bánh bỏng phồng
